state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
2,Alaska,13,Aleutians East Borough,1990,0.21,0.0,0.21,0.22,0.0,0.22,0.43,0.0,0.43,0.98,1.41,0.14,0.00,0.14,0.00,4
2,Alaska,13,Aleutians East Borough,1995,0.0,0.0,0.0,0.9,1.75,2.65,0.9,1.75,2.65,0.47,3.12,0.20,0.26,0.46,0.00,3
2,Alaska,13,Aleutians East Borough,2000,0.0,0.0,0.0,0.75,1.5,2.25,0.75,1.5,2.25,-,-,-,-,-,-,-
2,Alaska,13,Aleutians East Borough,2005,0.0,0.0,0.0,0.8,1.6,2.4,0.8,1.6,2.4,-,-,-,-,-,-,-
2,Alaska,13,Aleutians East Borough,2010,0.0,0.0,0.0,0.9,1.7,2.6,0.9,1.7,2.6,-,-,-,-,-,-,-
2,Alaska,13,Aleutians East Borough,2015,0.0,0.0,0.0,0.17,0.31,0.48,0.17,0.31,0.48,-,-,-,-,-,-,-
2,Alaska,16,Aleutians West Census Area,1990,0.77,0.0,0.77,0.82,0.0,0.82,1.59,0.0,1.59,3.68,5.27,0.53,0.00,0.53,0.00,15
2,Alaska,16,Aleutians West Census Area,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.05,0.00,0.05,0.00,11
2,Alaska,16,Aleutians West Census Area,2000,0.0,0.0,0.0,0.8,1.6,2.4,0.8,1.6,2.4,-,-,-,-,-,-,-
2,Alaska,16,Aleutians West Census Area,2005,0.0,0.0,0.0,0.85,1.7,2.55,0.85,1.7,2.55,-,-,-,-,-,-,-
2,Alaska,16,Aleutians West Census Area,2010,0.0,0.0,0.0,0.9,1.8,2.7,0.9,1.8,2.7,-,-,-,-,-,-,-
2,Alaska,16,Aleutians West Census Area,2015,0.0,0.0,0.0,0.16,0.33,0.49,0.16,0.33,0.49,-,-,-,-,-,-,-
2,Alaska,20,Municipality of Anchorage,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.00,0.00,0.00,0.00,-
2,Alaska,20,Municipality of Anchorage,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,1.83,0.18,0.00,0.18,0.00,50
2,Alaska,20,Municipality of Anchorage,1995,0.22,0.0,0.22,0.0,0.0,0.0,0.22,0.0,0.22,1.54,1.76,0.26,0.00,0.26,0.00,45
2,Alaska,20,Municipality of Anchorage,2000,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,-,-,-,-,-,-,-
2,Alaska,20,Municipality of Anchorage,2005,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,-,-,-,-,-,-,-
2,Alaska,20,Municipality of Anchorage,2010,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,-,-,-,-,-,-,-
2,Alaska,20,Municipality of Anchorage,2015,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,-,-,-,-,-,-,-
2,Alaska,50,Bethel Census Area,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
2,Alaska,50,Bethel Census Area,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
2,Alaska,50,Bethel Census Area,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.00,0.00,0.00,0.00,2
2,Alaska,50,Bethel Census Area,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
2,Alaska,50,Bethel Census Area,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
2,Alaska,50,Bethel Census Area,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
2,Alaska,50,Bethel Census Area,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
2,Alaska,60,Bristol Bay Borough,1985,0.32,0.0,0.32,0.87,0.0,0.87,1.19,0.0,1.19,0.00,1.19,0.12,0.00,0.12,0.00,-
2,Alaska,60,Bristol Bay Borough,1990,0.47,0.0,0.47,1.29,0.0,1.29,1.76,0.0,1.76,0.00,1.76,0.18,0.00,0.18,0.00,9
2,Alaska,60,Bristol Bay Borough,1995,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.00,0.02,0.00,0.00,0.00,0.00,12
2,Alaska,60,Bristol Bay Borough,2000,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,-,-,-,-,-,-,-
2,Alaska,60,Bristol Bay Borough,2005,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,-,-,-,-,-,-,-
2,Alaska,60,Bristol Bay Borough,2010,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.12,-,-,-,-,-,-,-
2,Alaska,60,Bristol Bay Borough,2015,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,-,-,-,-,-,-,-
2,Alaska,68,Denali Borough,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
2,Alaska,68,Denali Borough,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
2,Alaska,68,Denali Borough,2005,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,-,-,-,-,-,-,-
2,Alaska,68,Denali Borough,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
2,Alaska,68,Denali Borough,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
2,Alaska,70,Dillingham Census Area,1985,0.15,0.0,0.15,0.2,0.0,0.2,0.35,0.0,0.35,0.05,0.40,0.04,0.00,0.04,0.00,-
2,Alaska,70,Dillingham Census Area,1990,0.12,0.0,0.12,0.14,0.0,0.14,0.26,0.0,0.26,0.04,0.30,0.03,0.00,0.03,0.00,9
2,Alaska,70,Dillingham Census Area,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.00,0.00,0.00,0.00,4
2,Alaska,70,Dillingham Census Area,2000,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,-,-,-,-,-,-,-
2,Alaska,70,Dillingham Census Area,2005,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,-,-,-,-,-,-,-
2,Alaska,70,Dillingham Census Area,2010,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,-,-,-,-,-,-,-
2,Alaska,70,Dillingham Census Area,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
2,Alaska,90,Fairbanks North Star Borough,1985,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.11,0.15,0.00,0.00,0.00,0.00,-
2,Alaska,90,Fairbanks North Star Borough,1990,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.18,0.22,0.02,0.00,0.02,0.00,11
2,Alaska,90,Fairbanks North Star Borough,1995,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.34,0.43,0.07,0.00,0.07,0.00,3
2,Alaska,90,Fairbanks North Star Borough,2000,0.55,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.55,-,-,-,-,-,-,-
2,Alaska,90,Fairbanks North Star Borough,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
2,Alaska,90,Fairbanks North Star Borough,2010,0.45,0.0,0.45,0.0,0.0,0.0,0.45,0.0,0.45,-,-,-,-,-,-,-
2,Alaska,90,Fairbanks North Star Borough,2015,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
2,Alaska,100,Haines Borough,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
2,Alaska,100,Haines Borough,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
2,Alaska,100,Haines Borough,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.00,0.00,0.00,0.00,1
2,Alaska,100,Haines Borough,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
2,Alaska,100,Haines Borough,2005,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.12,-,-,-,-,-,-,-
2,Alaska,100,Haines Borough,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
2,Alaska,100,Haines Borough,2015,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,-,-,-,-,-,-,-
2,Alaska,105,Hoonah-Angoon Census Area,2010,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.11,-,-,-,-,-,-,-
2,Alaska,105,Hoonah-Angoon Census Area,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
2,Alaska,110,City & Borough of Juneau,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.00,0.00,0.00,0.00,-
2,Alaska,110,City & Borough of Juneau,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.20,0.02,0.00,0.02,0.00,10
2,Alaska,110,City & Borough of Juneau,1995,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,1.10,1.11,0.17,0.00,0.17,0.00,3
2,Alaska,110,City & Borough of Juneau,2000,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.11,-,-,-,-,-,-,-
2,Alaska,110,City & Borough of Juneau,2005,2.62,0.0,2.62,0.0,0.0,0.0,2.62,0.0,2.62,-,-,-,-,-,-,-
2,Alaska,110,City & Borough of Juneau,2010,1.82,0.0,1.82,0.0,0.0,0.0,1.82,0.0,1.82,-,-,-,-,-,-,-
2,Alaska,110,City & Borough of Juneau,2015,0.91,0.0,0.91,0.0,0.0,0.0,0.91,0.0,0.91,-,-,-,-,-,-,-
2,Alaska,122,Kenai Peninsula Borough,1985,3.59,0.0,3.59,0.06,0.0,0.06,3.65,0.0,3.65,0.23,3.88,0.36,0.00,0.36,0.00,-
2,Alaska,122,Kenai Peninsula Borough,1990,3.58,0.0,3.58,0.04,0.0,0.04,3.62,0.0,3.62,0.48,4.10,0.41,0.00,0.41,0.00,38
2,Alaska,122,Kenai Peninsula Borough,1995,3.28,0.0,3.28,0.0,0.0,0.0,3.28,0.0,3.28,0.45,3.73,0.55,0.00,0.55,0.00,20
2,Alaska,122,Kenai Peninsula Borough,2000,2.78,0.0,2.78,0.0,0.0,0.0,2.78,0.0,2.78,-,-,-,-,-,-,-
2,Alaska,122,Kenai Peninsula Borough,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
2,Alaska,122,Kenai Peninsula Borough,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
2,Alaska,122,Kenai Peninsula Borough,2015,0.37,0.0,0.37,0.0,0.0,0.0,0.37,0.0,0.37,-,-,-,-,-,-,-
2,Alaska,130,Ketchikan Gateway Borough,1985,0.0,0.0,0.0,46.73,0.0,46.73,46.73,0.0,46.73,3.60,50.33,4.67,0.00,4.67,0.00,-
2,Alaska,130,Ketchikan Gateway Borough,1990,0.0,0.0,0.0,46.0,0.0,46.0,46.0,0.0,46.0,3.34,49.34,4.93,0.00,4.93,0.00,10
2,Alaska,130,Ketchikan Gateway Borough,1995,0.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,50.0,2.64,52.64,7.90,0.00,7.90,0.00,2
2,Alaska,130,Ketchikan Gateway Borough,2000,0.0,0.0,0.0,1.56,0.0,1.56,1.56,0.0,1.56,-,-,-,-,-,-,-
2,Alaska,130,Ketchikan Gateway Borough,2005,0.0,0.0,0.0,1.64,0.0,1.64,1.64,0.0,1.64,-,-,-,-,-,-,-
2,Alaska,130,Ketchikan Gateway Borough,2010,0.0,0.0,0.0,1.8,0.0,1.8,1.8,0.0,1.8,-,-,-,-,-,-,-
2,Alaska,130,Ketchikan Gateway Borough,2015,0.0,0.0,0.0,0.91,0.0,0.91,0.91,0.0,0.91,-,-,-,-,-,-,-
2,Alaska,140,Kobuk Census Area,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
2,Alaska,150,Kodiak Island Borough,1985,0.1,0.0,0.1,0.84,0.0,0.84,0.94,0.0,0.94,0.84,1.78,0.09,0.00,0.09,0.00,-
2,Alaska,150,Kodiak Island Borough,1990,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.0,0.07,3.09,3.16,0.16,0.00,0.16,0.00,28
2,Alaska,150,Kodiak Island Borough,1995,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,2.38,2.39,0.35,0.00,0.35,0.00,9
2,Alaska,150,Kodiak Island Borough,2000,0.0,0.0,0.0,0.0,0.76,0.76,0.0,0.76,0.76,-,-,-,-,-,-,-
2,Alaska,150,Kodiak Island Borough,2005,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,0.8,-,-,-,-,-,-,-
