state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
1,Alabama,1,Autauga County,1985,2.02,0.0,2.02,25.0,0.0,25.0,27.02,0.0,27.02,0.21,27.23,5.99,0.00,5.99,0.00,-
1,Alabama,1,Autauga County,1990,1.3,0.0,1.3,29.1,0.0,29.1,30.4,0.0,30.4,0.23,30.63,6.13,0.00,6.13,0.00,2
1,Alabama,1,Autauga County,1995,1.84,0.0,1.84,32.27,0.0,32.27,34.11,0.0,34.11,0.36,34.47,7.57,0.00,7.57,0.00,2
1,Alabama,1,Autauga County,2000,1.69,0.0,1.69,26.6,0.0,26.6,28.29,0.0,28.29,-,-,-,-,-,-,-
1,Alabama,1,Autauga County,2005,1.66,0.0,1.66,30.63,0.0,30.63,32.29,0.0,32.29,-,-,-,-,-,-,-
1,Alabama,1,Autauga County,2010,9.89,0.0,9.89,31.14,0.0,31.14,41.03,0.0,41.03,-,-,-,-,-,-,-
1,Alabama,1,Autauga County,2015,1.83,0.0,1.83,32.97,0.0,32.97,34.8,0.0,34.8,-,-,-,-,-,-,-
1,Alabama,3,Baldwin County,1985,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.58,0.67,0.15,0.00,0.15,0.00,-
1,Alabama,3,Baldwin County,1990,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,1.14,1.24,0.24,0.00,0.24,0.00,1
1,Alabama,3,Baldwin County,1995,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.42,0.43,0.10,0.00,0.10,0.00,1
1,Alabama,3,Baldwin County,2000,0.79,0.0,0.79,5.7,0.0,5.7,6.49,0.0,6.49,-,-,-,-,-,-,-
1,Alabama,3,Baldwin County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,3,Baldwin County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,3,Baldwin County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,5,Barbour County,1985,0.01,0.0,0.01,0.34,0.0,0.34,0.35,0.0,0.35,0.22,0.57,0.13,0.00,0.13,0.00,-
1,Alabama,5,Barbour County,1990,0.01,0.0,0.01,0.3,0.0,0.3,0.31,0.0,0.31,0.20,0.51,0.04,0.00,0.04,0.00,2
1,Alabama,5,Barbour County,1995,0.94,0.0,0.94,0.0,0.0,0.0,0.94,0.0,0.94,0.42,1.36,0.67,0.00,0.67,0.00,1
1,Alabama,5,Barbour County,2000,0.94,0.0,0.94,0.0,0.0,0.0,0.94,0.0,0.94,-,-,-,-,-,-,-
1,Alabama,5,Barbour County,2005,1.18,0.0,1.18,0.0,0.0,0.0,1.18,0.0,1.18,-,-,-,-,-,-,-
1,Alabama,5,Barbour County,2010,1.58,0.0,1.58,0.0,0.0,0.0,1.58,0.0,1.58,-,-,-,-,-,-,-
1,Alabama,5,Barbour County,2015,1.5,0.0,1.5,0.0,0.0,0.0,1.5,0.0,1.5,-,-,-,-,-,-,-
1,Alabama,7,Bibb County,1985,0.01,0.0,0.01,0.19,0.0,0.19,0.2,0.0,0.2,0.07,0.27,0.06,0.00,0.06,0.00,-
1,Alabama,7,Bibb County,1990,0.01,0.0,0.01,0.2,0.0,0.2,0.21,0.0,0.21,0.62,0.83,0.17,0.00,0.17,0.00,2
1,Alabama,7,Bibb County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.02,0.00,0.02,0.00,0
1,Alabama,7,Bibb County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,7,Bibb County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,7,Bibb County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,7,Bibb County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,9,Blount County,1985,0.83,0.0,0.83,0.0,0.0,0.0,0.83,0.0,0.83,0.06,0.89,0.20,0.00,0.20,0.00,-
1,Alabama,9,Blount County,1990,0.92,0.0,0.92,0.0,0.0,0.0,0.92,0.0,0.92,0.15,1.07,0.21,0.00,0.21,0.00,1
1,Alabama,9,Blount County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.51,0.11,0.00,0.11,0.00,0
1,Alabama,9,Blount County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,9,Blount County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,9,Blount County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,9,Blount County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,11,Bullock County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.11,0.00,0.11,0.00,-
1,Alabama,11,Bullock County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.10,0.00,0.10,0.00,1
1,Alabama,11,Bullock County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.61,0.13,0.00,0.13,0.00,0
1,Alabama,11,Bullock County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,11,Bullock County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,11,Bullock County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,11,Bullock County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,13,Butler County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30,0.30,0.07,0.00,0.07,0.00,-
1,Alabama,13,Butler County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.03,0.00,0.03,0.00,1
1,Alabama,13,Butler County,1995,0.21,0.0,0.21,0.0,0.0,0.0,0.21,0.0,0.21,0.06,0.27,0.20,0.00,0.20,0.00,1
1,Alabama,13,Butler County,2000,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,-,-,-,-,-,-,-
1,Alabama,13,Butler County,2005,0.31,0.0,0.31,0.0,0.0,0.0,0.31,0.0,0.31,-,-,-,-,-,-,-
1,Alabama,13,Butler County,2010,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.3,-,-,-,-,-,-,-
1,Alabama,13,Butler County,2015,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,-,-,-,-,-,-,-
1,Alabama,15,Calhoun County,1985,0.79,0.0,0.79,0.0,0.0,0.0,0.79,0.0,0.79,6.00,6.79,1.49,0.00,1.49,0.00,-
1,Alabama,15,Calhoun County,1990,0.8,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.8,4.14,4.94,0.99,0.00,0.99,0.00,1
1,Alabama,15,Calhoun County,1995,1.11,0.0,1.11,0.0,0.0,0.0,1.11,0.0,1.11,1.14,2.25,0.00,0.00,0.00,0.00,4
1,Alabama,15,Calhoun County,2000,1.28,0.0,1.28,0.0,0.0,0.0,1.28,0.0,1.28,-,-,-,-,-,-,-
1,Alabama,15,Calhoun County,2005,1.1,0.0,1.1,0.0,0.0,0.0,1.1,0.0,1.1,-,-,-,-,-,-,-
1,Alabama,15,Calhoun County,2010,0.97,0.0,0.97,0.0,0.0,0.0,0.97,0.0,0.97,-,-,-,-,-,-,-
1,Alabama,15,Calhoun County,2015,1.15,0.0,1.15,0.0,0.0,0.0,1.15,0.0,1.15,-,-,-,-,-,-,-
1,Alabama,17,Chambers County,1985,0.0,0.0,0.0,15.53,0.0,15.53,15.53,0.0,15.53,1.33,16.86,3.71,0.00,3.71,0.00,-
1,Alabama,17,Chambers County,1990,0.0,0.0,0.0,15.0,0.0,15.0,15.0,0.0,15.0,0.16,15.16,3.03,0.00,3.03,0.00,1
1,Alabama,17,Chambers County,1995,0.0,0.0,0.0,5.79,0.0,5.79,5.79,0.0,5.79,1.88,7.67,0.83,0.00,0.83,0.00,2
1,Alabama,17,Chambers County,2000,0.0,0.0,0.0,5.7,0.0,5.7,5.7,0.0,5.7,-,-,-,-,-,-,-
1,Alabama,17,Chambers County,2005,0.0,0.0,0.0,2.16,0.0,2.16,2.16,0.0,2.16,-,-,-,-,-,-,-
1,Alabama,17,Chambers County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,17,Chambers County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
1,Alabama,19,Cherokee County,1985,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.0,0.07,0.05,0.12,0.03,0.00,0.03,0.00,-
