state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
5,Arkansas,1,Arkansas County,1985,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.00,0.02,0.01,0.00,0.01,0.00,-
5,Arkansas,1,Arkansas County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
5,Arkansas,1,Arkansas County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,1.13,0.00,0.00,0.00,0.00,0
5,Arkansas,1,Arkansas County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
5,Arkansas,1,Arkansas County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
5,Arkansas,1,Arkansas County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
5,Arkansas,1,Arkansas County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0
5,Arkansas,3,Ashley County,1985,9.96,0.0,9.96,34.52,0.0,34.52,44.48,0.0,44.48,0.00,44.48,0.22,0.00,0.22,0.00,-
5,Arkansas,3,Ashley County,1990,3.8,0.0,3.8,33.62,0.0,33.62,37.42,0.0,37.42,0.00,37.42,2.99,0.00,2.99,0.00,1
5,Arkansas,3,Ashley County,1995,7.5,0.0,7.5,32.81,0.0,32.81,40.31,0.0,40.31,0.21,40.52,3.02,0.00,3.02,0.00,1
5,Arkansas,3,Ashley County,2000,8.73,0.0,8.73,33.93,0.0,33.93,42.66,0.0,42.66,-,-,-,-,-,-,-
5,Arkansas,3,Ashley County,2005,6.2,0.0,6.2,52.81,0.0,52.81,59.01,0.0,59.01,-,-,-,-,-,-,-
5,Arkansas,3,Ashley County,2010,8.4,0.0,8.4,52.45,0.0,52.45,60.85,0.0,60.85,-,-,-,-,-,0.00,-
