state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
4,Arizona,1,Apache County,1985,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.04,0.01,0.00,0.01,0.00,0
4,Arizona,1,Apache County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
4,Arizona,1,Apache County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
4,Arizona,1,Apache County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
4,Arizona,1,Apache County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,0
4,Arizona,1,Apache County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,-,0.00,-,0.00,0
4,Arizona,1,Apache County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
4,Arizona,3,Cochise County,1985,1.77,0.0,1.77,0.0,0.0,0.0,1.77,0.0,1.77,0.00,1.77,1.70,0.00,1.70,0.00,0
4,Arizona,3,Cochise County,1990,0.76,0.0,0.76,0.0,0.0,0.0,0.76,0.0,0.76,0.00,0.76,0.76,0.00,0.76,0.00,22
4,Arizona,3,Cochise County,1995,0.76,0.0,0.76,0.0,0.0,0.0,0.76,0.0,0.76,0.12,0.88,0.81,0.00,0.81,0.00,0
4,Arizona,3,Cochise County,2000,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,-,-
4,Arizona,3,Cochise County,2005,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,-,-,-,-,-,0.00,2
4,Arizona,3,Cochise County,2010,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.00,0.06,-,0.00,-,0.00,2
4,Arizona,3,Cochise County,2015,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,-,-,-,-,-,-,-
4,Arizona,5,Coconino County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.05,0.00,0.05,0.00,0
4,Arizona,5,Coconino County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.26,0.00,0.26,0.00,4
4,Arizona,5,Coconino County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.13,0.00,0.13,0.00,0
4,Arizona,5,Coconino County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
4,Arizona,5,Coconino County,2005,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,-,-,-,-,-,0.00,1
4,Arizona,5,Coconino County,2010,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.00,0.02,-,0.00,-,0.00,1
4,Arizona,5,Coconino County,2015,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
4,Arizona,7,Gila County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.13,0.00,0.13,0.00,0
4,Arizona,7,Gila County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30,0.30,0.30,0.00,0.30,0.00,2
4,Arizona,7,Gila County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
4,Arizona,7,Gila County,2000,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,-,-,-,-,-,-,-
4,Arizona,7,Gila County,2005,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,0.00,1
4,Arizona,7,Gila County,2010,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.00,0.02,-,0.00,-,0.00,1
4,Arizona,7,Gila County,2015,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,-,-
4,Arizona,9,Graham County,1985,7.46,0.0,7.46,0.0,0.0,0.0,7.46,0.0,7.46,0.00,7.46,7.46,0.00,7.46,0.00,0
4,Arizona,9,Graham County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.00,0.01,0.00,1
4,Arizona,9,Graham County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
4,Arizona,9,Graham County,2000,0.17,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.17,-,-,-,-,-,-,-
4,Arizona,9,Graham County,2005,0.17,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.17,-,-,-,-,-,0.00,1
4,Arizona,9,Graham County,2010,0.17,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.17,0.00,0.17,-,0.00,-,0.00,1
4,Arizona,9,Graham County,2015,0.17,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.17,-,-,-,-,-,-,-
4,Arizona,11,Greenlee County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.14,0
4,Arizona,11,Greenlee County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.09,0.00,0.09,0.00,1
4,Arizona,11,Greenlee County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
4,Arizona,11,Greenlee County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
4,Arizona,11,Greenlee County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,0
