state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
6,California,1,Alameda County,1985,3.26,0.0,3.26,0.01,0.61,0.62,3.27,0.61,3.88,6.24,10.12,2.39,0.14,2.53,0.00,-
6,California,1,Alameda County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.79,22.79,2.37,0.18,2.55,0.00,1579
6,California,1,Alameda County,1995,6.55,0.0,6.55,0.2,0.0,0.2,6.75,0.0,6.75,21.82,28.57,8.29,0.00,8.29,0.00,1564
6,California,1,Alameda County,2000,2.53,0.0,2.53,0.12,0.31,0.43,2.65,0.31,2.96,-,-,-,-,-,-,-
6,California,1,Alameda County,2005,0.04,0.0,0.04,0.01,0.0,0.01,0.05,0.0,0.05,-,-,-,-,-,-,-
6,California,1,Alameda County,2010,0.9,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.9,-,-,-,-,-,7.50,-
6,California,1,Alameda County,2015,0.9,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.9,-,-,-,-,-,7.50,8
6,California,3,Alpine County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
6,California,3,Alpine County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
6,California,3,Alpine County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
6,California,3,Alpine County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
6,California,3,Alpine County,2005,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.04,-,-,-,-,-,-,-
6,California,3,Alpine County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
6,California,3,Alpine County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,0
6,California,5,Amador County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,1.36,0.48,0.00,0.48,0.00,-
6,California,5,Amador County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,1.47,0.22,0.00,0.22,0.00,8
6,California,5,Amador County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,1.47,0.43,0.00,0.43,0.00,9
6,California,5,Amador County,2000,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.15,-,-,-,-,-,-,-
