state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
9,Connecticut,1,Fairfield County,1985,0.81,0.0,0.81,1.18,0.1,1.28,1.99,0.1,2.09,23.07,25.16,2.30,0.00,2.30,0.00,-
9,Connecticut,1,Fairfield County,1990,1.04,0.0,1.04,1.07,0.0,1.07,2.11,0.0,2.11,22.77,24.88,0.54,0.00,0.54,0.00,0
9,Connecticut,1,Fairfield County,1995,1.29,0.0,1.29,1.34,0.0,1.34,2.63,0.0,2.63,13.12,15.75,0.34,0.00,0.34,0.00,10
9,Connecticut,1,Fairfield County,2000,1.72,0.0,1.72,1.79,0.0,1.79,3.51,0.0,3.51,-,-,-,-,-,-,-
9,Connecticut,1,Fairfield County,2005,2.52,0.0,2.52,2.62,0.0,2.62,5.14,0.0,5.14,-,-,-,-,-,-,-
9,Connecticut,1,Fairfield County,2010,2.3,0.0,2.3,2.39,0.0,2.39,4.69,0.0,4.69,-,-,-,-,-,-,-
9,Connecticut,1,Fairfield County,2015,0.23,0.0,0.23,3.64,0.0,3.64,3.87,0.0,3.87,-,-,-,-,-,-,-
9,Connecticut,3,Hartford County,1985,3.86,0.0,3.86,15.0,0.0,15.0,18.86,0.0,18.86,15.09,33.95,3.50,0.00,3.50,0.00,-
9,Connecticut,3,Hartford County,1990,3.77,0.0,3.77,16.8,0.0,16.8,20.57,0.0,20.57,16.69,37.26,4.11,0.00,4.11,0.00,0
9,Connecticut,3,Hartford County,1995,0.17,0.0,0.17,0.81,0.0,0.81,0.98,0.0,0.98,13.27,14.25,0.10,0.00,0.10,0.00,14
9,Connecticut,3,Hartford County,2000,0.11,0.0,0.11,0.53,0.0,0.53,0.64,0.0,0.64,-,-,-,-,-,-,-
9,Connecticut,3,Hartford County,2005,0.13,0.0,0.13,53.1,0.0,53.1,53.23,0.0,53.23,-,-,-,-,-,-,-
9,Connecticut,3,Hartford County,2010,0.13,0.0,0.13,53.14,0.0,53.14,53.27,0.0,53.27,-,-,-,-,-,-,-
9,Connecticut,3,Hartford County,2015,9.02,0.0,9.02,97.25,0.0,97.25,106.27,0.0,106.27,-,-,-,-,-,-,-
9,Connecticut,5,Litchfield County,1985,4.2,0.0,4.2,3.6,0.0,3.6,7.8,0.0,7.8,0.58,8.38,1.00,0.00,1.00,0.00,-
9,Connecticut,5,Litchfield County,1990,4.14,0.0,4.14,3.54,0.0,3.54,7.68,0.0,7.68,0.56,8.24,1.54,0.00,1.54,0.00,0
9,Connecticut,5,Litchfield County,1995,0.71,0.0,0.71,0.61,0.0,0.61,1.32,0.0,1.32,1.86,3.18,0.13,0.00,0.13,0.00,1
9,Connecticut,5,Litchfield County,2000,0.46,0.0,0.46,0.39,0.0,0.39,0.85,0.0,0.85,-,-,-,-,-,-,-
9,Connecticut,5,Litchfield County,2005,0.71,0.0,0.71,0.61,0.0,0.61,1.32,0.0,1.32,-,-,-,-,-,-,-
9,Connecticut,5,Litchfield County,2010,0.61,0.0,0.61,0.52,0.0,0.52,1.13,0.0,1.13,-,-,-,-,-,-,-
9,Connecticut,5,Litchfield County,2015,1.33,0.0,1.33,7.62,0.0,7.62,8.95,0.0,8.95,-,-,-,-,-,-,-
9,Connecticut,7,Middlesex County,1985,3.82,0.0,3.82,15.95,0.0,15.95,19.77,0.0,19.77,0.51,20.28,0.98,0.00,0.98,0.00,-
9,Connecticut,7,Middlesex County,1990,4.08,0.0,4.08,15.92,0.0,15.92,20.0,0.0,20.0,0.49,20.49,4.00,0.00,4.00,0.00,0
9,Connecticut,7,Middlesex County,1995,0.14,0.0,0.14,0.54,0.0,0.54,0.68,0.0,0.68,1.07,1.75,0.07,0.00,0.07,0.00,1
9,Connecticut,7,Middlesex County,2000,0.08,0.0,0.08,0.31,0.0,0.31,0.39,0.0,0.39,-,-,-,-,-,-,-
9,Connecticut,7,Middlesex County,2005,0.33,0.0,0.33,0.66,0.0,0.66,0.99,0.0,0.99,-,-,-,-,-,-,-
9,Connecticut,7,Middlesex County,2010,0.3,0.0,0.3,0.54,0.0,0.54,0.84,0.0,0.84,-,-,-,-,-,-,-
9,Connecticut,7,Middlesex County,2015,4.06,0.0,4.06,0.05,0.0,0.05,4.11,0.0,4.11,-,-,-,-,-,-,-
9,Connecticut,9,New Haven County,1985,3.72,0.0,3.72,4.72,0.0,4.72,8.44,0.0,8.44,15.35,23.79,2.40,0.00,2.40,0.00,-
9,Connecticut,9,New Haven County,1990,3.73,0.0,3.73,4.19,0.0,4.19,7.92,0.0,7.92,16.05,23.97,1.60,0.00,1.60,0.00,0
9,Connecticut,9,New Haven County,1995,0.76,0.0,0.76,0.86,0.0,0.86,1.62,0.0,1.62,9.04,10.66,0.16,0.00,0.16,0.00,21
9,Connecticut,9,New Haven County,2000,1.33,0.0,1.33,1.5,0.0,1.5,2.83,0.0,2.83,-,-,-,-,-,-,-
9,Connecticut,9,New Haven County,2005,2.92,0.0,2.92,1.37,0.0,1.37,4.29,0.0,4.29,-,-,-,-,-,-,-
9,Connecticut,9,New Haven County,2010,2.54,0.0,2.54,1.0,0.0,1.0,3.54,0.0,3.54,-,-,-,-,-,-,-
9,Connecticut,9,New Haven County,2015,22.9,0.0,22.9,18.5,0.0,18.5,41.4,0.0,41.4,-,-,-,-,-,-,-
9,Connecticut,11,New London County,1985,0.51,0.0,0.51,15.07,68.0,83.07,15.58,68.0,83.58,6.36,89.94,1.95,1.36,3.31,0.00,-
9,Connecticut,11,New London County,1990,0.54,0.0,0.54,15.07,68.0,83.07,15.61,68.0,83.61,6.28,89.89,3.21,13.60,16.81,0.00,0
9,Connecticut,11,New London County,1995,0.03,0.0,0.03,0.9,0.0,0.9,0.93,0.0,0.93,1.98,2.91,0.09,0.00,0.09,0.00,2
9,Connecticut,11,New London County,2000,0.04,0.0,0.04,1.13,0.0,1.13,1.17,0.0,1.17,-,-,-,-,-,-,-
9,Connecticut,11,New London County,2005,0.01,0.0,0.01,0.71,38.46,39.17,0.72,38.46,39.18,-,-,-,-,-,-,-
9,Connecticut,11,New London County,2010,0.03,0.0,0.03,1.05,38.46,39.51,1.08,38.46,39.54,-,-,-,-,-,-,-
9,Connecticut,11,New London County,2015,0.08,0.0,0.08,7.97,41.63,49.6,8.05,41.63,49.68,-,-,-,-,-,-,-
9,Connecticut,13,Tolland County,1985,0.27,0.0,0.27,0.65,0.0,0.65,0.92,0.0,0.92,0.28,1.20,0.22,0.00,0.22,0.00,-
9,Connecticut,13,Tolland County,1990,0.25,0.0,0.25,1.86,0.0,1.86,2.11,0.0,2.11,0.29,2.40,0.55,0.00,0.55,0.00,0
9,Connecticut,13,Tolland County,1995,0.06,0.0,0.06,0.42,0.0,0.42,0.48,0.0,0.48,0.42,0.90,0.06,0.00,0.06,0.00,1
9,Connecticut,13,Tolland County,2000,0.03,0.0,0.03,0.19,0.0,0.19,0.22,0.0,0.22,-,-,-,-,-,-,-
9,Connecticut,13,Tolland County,2005,0.03,0.0,0.03,0.7,0.0,0.7,0.73,0.0,0.73,-,-,-,-,-,-,-
9,Connecticut,13,Tolland County,2010,0.04,0.0,0.04,0.83,0.0,0.83,0.87,0.0,0.87,-,-,-,-,-,-,-
9,Connecticut,13,Tolland County,2015,0.47,0.0,0.47,0.53,0.0,0.53,1.0,0.0,1.0,-,-,-,-,-,-,-
9,Connecticut,15,Windham County,1985,0.74,0.0,0.74,3.08,0.0,3.08,3.82,0.0,3.82,0.61,4.43,0.51,0.00,0.51,0.00,-
9,Connecticut,15,Windham County,1990,1.36,0.0,1.36,2.78,0.0,2.78,4.14,0.0,4.14,0.64,4.78,0.93,0.00,0.93,0.00,0
9,Connecticut,15,Windham County,1995,0.32,0.0,0.32,0.69,0.0,0.69,1.01,0.0,1.01,0.98,1.99,0.11,0.00,0.11,0.00,1
9,Connecticut,15,Windham County,2000,0.36,0.0,0.36,0.77,0.0,0.77,1.13,0.0,1.13,-,-,-,-,-,-,-
9,Connecticut,15,Windham County,2005,0.37,0.0,0.37,0.78,0.0,0.78,1.15,0.0,1.15,-,-,-,-,-,-,-
9,Connecticut,15,Windham County,2010,0.33,0.0,0.33,0.71,0.0,0.71,1.04,0.0,1.04,-,-,-,-,-,-,-
9,Connecticut,15,Windham County,2015,1.99,0.0,1.99,5.06,0.0,5.06,7.05,0.0,7.05,-,-,-,-,-,-,-
