state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
10,Delaware,1,Kent County,1985,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.49,3.49,0.35,0.00,0.35,0.00,-
10,Delaware,1,Kent County,1990,2.38,0.0,2.38,0.0,0.0,0.0,2.38,0.0,2.38,1.06,3.44,0.52,0.00,0.52,0.00,8
10,Delaware,1,Kent County,1995,1.9,0.0,1.9,0.0,0.0,0.0,1.9,0.0,1.9,1.43,3.33,0.50,0.00,0.50,0.00,8
10,Delaware,1,Kent County,2000,1.53,0.0,1.53,0.0,0.0,0.0,1.53,0.0,1.53,-,-,-,-,-,-,-
10,Delaware,1,Kent County,2005,1.19,0.0,1.19,0.0,0.0,0.0,1.19,0.0,1.19,-,-,-,-,-,-,-
10,Delaware,1,Kent County,2010,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.12,-,-,-,-,-,-,-
10,Delaware,1,Kent County,2015,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,-,-,-,-,-,-,-
10,Delaware,3,New Castle County,1985,6.71,0.0,6.71,3.07,343.44,346.51,9.78,343.44,353.22,15.48,368.70,2.53,3.43,5.96,0.00,-
10,Delaware,3,New Castle County,1990,6.31,0.0,6.31,11.04,6.02,17.06,17.35,6.02,23.37,12.42,35.79,4.47,0.01,4.48,0.00,18
10,Delaware,3,New Castle County,1995,6.82,0.0,6.82,8.95,3.2,12.15,15.77,3.2,18.97,12.39,31.36,4.23,0.01,4.24,0.00,17
10,Delaware,3,New Castle County,2000,7.57,0.0,7.57,10.89,3.25,14.14,18.46,3.25,21.71,-,-,-,-,-,-,-
10,Delaware,3,New Castle County,2005,4.33,0.0,4.33,2.83,0.0,2.83,7.16,0.0,7.16,-,-,-,-,-,-,-
10,Delaware,3,New Castle County,2010,2.19,0.0,2.19,78.33,0.0,78.33,80.52,0.0,80.52,-,-,-,-,-,-,-
10,Delaware,3,New Castle County,2015,4.14,0.0,4.14,284.46,0.0,284.46,288.6,0.0,288.6,-,-,-,-,-,-,-
10,Delaware,5,Sussex County,1985,7.13,0.0,7.13,0.0,48.0,48.0,7.13,48.0,55.13,0.60,55.73,0.71,0.48,1.19,0.00,-
10,Delaware,5,Sussex County,1990,9.04,0.01,9.05,36.2,0.0,36.2,45.24,0.01,45.25,1.52,46.77,7.01,0.00,7.01,0.00,12
10,Delaware,5,Sussex County,1995,8.77,0.0,8.77,34.19,0.01,34.2,42.96,0.01,42.97,2.02,44.99,6.74,0.00,6.74,0.00,11
10,Delaware,5,Sussex County,2000,7.88,0.0,7.88,31.58,0.0,31.58,39.46,0.0,39.46,-,-,-,-,-,-,-
10,Delaware,5,Sussex County,2005,6.1,0.0,6.1,26.9,0.0,26.9,33.0,0.0,33.0,-,-,-,-,-,-,-
10,Delaware,5,Sussex County,2010,6.12,0.0,6.12,9.2,0.0,9.2,15.32,0.0,15.32,-,-,-,-,-,-,-
10,Delaware,5,Sussex County,2015,6.49,0.0,6.49,6.43,0.0,6.43,12.92,0.0,12.92,-,-,-,-,-,-,-
