state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
12,Florida,1,Alachua County,1985,1.61,0.0,1.61,0.0,0.0,0.0,1.61,0.0,1.61,2.98,4.59,0.49,0.00,0.49,0.00,-
12,Florida,1,Alachua County,1990,0.34,0.0,0.34,0.0,0.0,0.0,0.34,0.0,0.34,1.63,1.97,0.20,0.00,0.20,0.00,5
12,Florida,1,Alachua County,1995,0.61,0.0,0.61,0.0,0.0,0.0,0.61,0.0,0.61,0.67,1.28,0.13,0.00,0.13,0.25,2
12,Florida,1,Alachua County,2000,0.45,0.0,0.45,0.0,0.0,0.0,0.45,0.0,0.45,-,-,-,-,-,-,-
12,Florida,1,Alachua County,2005,0.08,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.08,-,-,-,-,-,0.00,-
12,Florida,1,Alachua County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.62,-
12,Florida,1,Alachua County,2015,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,-,-,-,-,-,1.25,-
12,Florida,3,Baker County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
12,Florida,3,Baker County,1990,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,0.04,0.18,0.02,0.00,0.02,0.00,4
12,Florida,3,Baker County,1995,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.08,0.01,0.00,0.01,0.00,1
12,Florida,3,Baker County,2000,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,-,-,-,-,-,-,-
12,Florida,3,Baker County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
12,Florida,3,Baker County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
12,Florida,3,Baker County,2015,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.15,-,-,-,-,-,0.03,-
12,Florida,5,Bay County,1985,0.58,0.0,0.58,0.92,0.0,0.92,1.5,0.0,1.5,0.64,2.14,0.43,0.00,0.43,0.00,-
12,Florida,5,Bay County,1990,0.63,0.0,0.63,1.46,0.0,1.46,2.09,0.0,2.09,23.64,25.73,6.43,0.00,6.43,0.00,4
12,Florida,5,Bay County,1995,0.44,0.0,0.44,0.0,0.0,0.0,0.44,0.0,0.44,25.37,25.81,6.45,0.00,6.45,0.00,4
12,Florida,5,Bay County,2000,0.22,0.0,0.22,0.0,0.0,0.0,0.22,0.0,0.22,-,-,-,-,-,-,-
12,Florida,5,Bay County,2005,0.38,0.0,0.38,0.0,0.0,0.0,0.38,0.0,0.38,-,-,-,-,-,0.00,-
12,Florida,5,Bay County,2010,0.16,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.16,-,-,-,-,-,0.11,-
12,Florida,5,Bay County,2015,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,-,-,-,-,-,0.01,-
12,Florida,7,Bradford County,1985,0.47,0.0,0.47,0.0,0.0,0.0,0.47,0.0,0.47,0.27,0.74,0.23,0.00,0.23,0.00,-
12,Florida,7,Bradford County,1990,0.44,0.0,0.44,0.0,0.0,0.0,0.44,0.0,0.44,0.38,0.82,0.08,0.00,0.08,0.00,4
12,Florida,7,Bradford County,1995,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.06,0.07,0.01,0.00,0.01,0.00,1
12,Florida,7,Bradford County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
12,Florida,7,Bradford County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
12,Florida,7,Bradford County,2010,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,-,-,-,-,-,0.07,-
