state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
15,Hawaii,1,Hawaii County,1985,4.69,0.0,4.69,0.0,0.0,0.0,4.69,0.0,4.69,0.78,5.47,0.55,0.00,0.55,0.00,-
15,Hawaii,1,Hawaii County,1990,3.47,0.0,3.47,16.5,0.0,16.5,19.97,0.0,19.97,0.19,20.16,0.00,0.00,0.00,0.00,28
15,Hawaii,1,Hawaii County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.03,0.00,0.03,0.00,24
15,Hawaii,1,Hawaii County,2000,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,-,-,-,-,-,-,-
15,Hawaii,1,Hawaii County,2005,24.28,0.14,24.42,0.0,0.0,0.0,24.28,0.14,24.42,-,-,-,-,-,-,-
15,Hawaii,1,Hawaii County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
15,Hawaii,1,Hawaii County,2015,0.21,0.0,0.21,0.0,0.0,0.0,0.21,0.0,0.21,-,-,-,-,-,-,-
15,Hawaii,3,Honolulu County,1985,10.03,0.0,10.03,0.0,0.0,0.0,10.03,0.0,10.03,5.60,15.63,5.19,0.00,5.19,0.00,-
15,Hawaii,3,Honolulu County,1990,16.13,0.0,16.13,0.0,0.0,0.0,16.13,0.0,16.13,6.01,22.14,2.21,0.00,2.21,0.00,62
15,Hawaii,3,Honolulu County,1995,12.91,0.0,12.91,0.0,0.0,0.0,12.91,0.0,12.91,4.00,16.91,1.69,0.00,1.69,0.00,183
15,Hawaii,3,Honolulu County,2000,12.93,0.0,12.93,0.0,0.0,0.0,12.93,0.0,12.93,-,-,-,-,-,-,-
15,Hawaii,3,Honolulu County,2005,3.34,1.59,4.93,0.0,0.0,0.0,3.34,1.59,4.93,-,-,-,-,-,-,-
15,Hawaii,3,Honolulu County,2010,4.61,0.0,4.61,0.0,0.0,0.0,4.61,0.0,4.61,-,-,-,-,-,-,-
15,Hawaii,3,Honolulu County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
15,Hawaii,5,Kalawao County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
15,Hawaii,5,Kalawao County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
15,Hawaii,5,Kalawao County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
15,Hawaii,5,Kalawao County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
15,Hawaii,5,Kalawao County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
15,Hawaii,5,Kalawao County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
15,Hawaii,5,Kalawao County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
15,Hawaii,7,Kauai County,1985,0.33,0.0,0.33,2.7,0.0,2.7,3.03,0.0,3.03,0.00,3.03,0.32,0.00,0.32,0.00,-
15,Hawaii,7,Kauai County,1990,0.03,0.0,0.03,6.34,0.0,6.34,6.37,0.0,6.37,0.30,6.67,0.00,0.00,0.00,0.00,13
15,Hawaii,7,Kauai County,1995,5.32,0.0,5.32,0.0,0.0,0.0,5.32,0.0,5.32,0.17,5.49,0.55,0.00,0.55,0.00,7
15,Hawaii,7,Kauai County,2000,0.27,0.0,0.27,0.0,0.0,0.0,0.27,0.0,0.27,-,-,-,-,-,-,-
15,Hawaii,7,Kauai County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
15,Hawaii,7,Kauai County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
15,Hawaii,7,Kauai County,2015,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,-,-
15,Hawaii,9,Maui County,1985,0.59,0.0,0.59,2.1,0.0,2.1,2.69,0.0,2.69,0.00,2.69,0.27,0.00,0.27,0.00,-
15,Hawaii,9,Maui County,1990,0.59,0.61,1.2,0.0,0.0,0.0,0.59,0.61,1.2,1.01,2.21,0.02,0.01,0.03,0.00,12
15,Hawaii,9,Maui County,1995,1.04,0.91,1.95,0.0,0.0,0.0,1.04,0.91,1.95,1.21,3.16,0.22,0.09,0.31,0.00,11
15,Hawaii,9,Maui County,2000,1.26,0.85,2.11,0.0,0.0,0.0,1.26,0.85,2.11,-,-,-,-,-,-,-
