state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
16,Idaho,1,Ada County,1985,0.86,0.0,0.86,1.79,0.0,1.79,2.65,0.0,2.65,0.70,3.35,0.10,0.00,0.10,0.00,-
16,Idaho,1,Ada County,1990,0.12,0.0,0.12,0.2,0.0,0.2,0.32,0.0,0.32,0.08,0.40,0.01,0.00,0.01,0.00,0
16,Idaho,1,Ada County,1995,6.46,0.0,6.46,2.54,0.0,2.54,9.0,0.0,9.0,1.44,10.44,0.71,0.00,0.71,0.00,12
16,Idaho,1,Ada County,2000,3.38,0.0,3.38,2.28,0.0,2.28,5.66,0.0,5.66,-,-,-,-,-,-,-
16,Idaho,1,Ada County,2005,5.42,0.0,5.42,3.11,0.0,3.11,8.53,0.0,8.53,-,-,-,-,-,-,-
16,Idaho,1,Ada County,2010,4.76,0.0,4.76,3.52,0.0,3.52,8.28,0.0,8.28,-,-,-,-,-,-,-
16,Idaho,1,Ada County,2015,3.87,0.0,3.87,2.86,0.0,2.86,6.73,0.0,6.73,-,-,-,-,-,-,-
16,Idaho,3,Adams County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
16,Idaho,3,Adams County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
16,Idaho,3,Adams County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
16,Idaho,3,Adams County,2000,0.04,0.0,0.04,0.02,0.0,0.02,0.06,0.0,0.06,-,-,-,-,-,-,-
16,Idaho,3,Adams County,2005,0.04,0.0,0.04,0.02,0.0,0.02,0.06,0.0,0.06,-,-,-,-,-,-,-
16,Idaho,3,Adams County,2010,0.11,0.0,0.11,0.05,0.0,0.05,0.16,0.0,0.16,-,-,-,-,-,-,-
16,Idaho,3,Adams County,2015,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
16,Idaho,5,Bannock County,1985,1.84,0.0,1.84,0.0,0.0,0.0,1.84,0.0,1.84,0.12,1.96,0.06,0.00,0.06,0.00,-
16,Idaho,5,Bannock County,1990,1.76,0.0,1.76,0.0,0.0,0.0,1.76,0.0,1.76,0.20,1.96,0.06,0.00,0.06,0.00,0
16,Idaho,5,Bannock County,1995,1.83,0.0,1.83,0.0,0.0,0.0,1.83,0.0,1.83,0.92,2.75,0.09,0.00,0.09,0.00,2
16,Idaho,5,Bannock County,2000,0.62,0.0,0.62,1.97,0.0,1.97,2.59,0.0,2.59,-,-,-,-,-,-,-
16,Idaho,5,Bannock County,2005,0.69,0.0,0.69,2.2,0.0,2.2,2.89,0.0,2.89,-,-,-,-,-,-,-
16,Idaho,5,Bannock County,2010,0.21,0.0,0.21,0.67,0.0,0.67,0.88,0.0,0.88,-,-,-,-,-,-,-
16,Idaho,5,Bannock County,2015,0.24,0.0,0.24,0.77,0.0,0.77,1.01,0.0,1.01,-,-,-,-,-,-,-
16,Idaho,7,Bear Lake County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
16,Idaho,7,Bear Lake County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
16,Idaho,7,Bear Lake County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
16,Idaho,7,Bear Lake County,2000,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,-,-,-,-,-,-,-
16,Idaho,7,Bear Lake County,2005,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,-,-,-,-,-,-,-
16,Idaho,7,Bear Lake County,2010,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.0,0.03,-,-,-,-,-,-,-
16,Idaho,7,Bear Lake County,2015,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,-,-,-,-,-,-,-
16,Idaho,9,Benewah County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
