state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
17,Illinois,1,Adams County,1985,11.13,0.0,11.13,0.0,0.0,0.0,11.13,0.0,11.13,1.21,12.34,4.64,0.00,4.64,0.00,-
17,Illinois,1,Adams County,1990,10.28,0.0,10.28,0.0,0.0,0.0,10.28,0.0,10.28,2.06,12.34,1.16,0.00,1.16,0.00,5
17,Illinois,1,Adams County,1995,12.62,0.0,12.62,0.0,0.0,0.0,12.62,0.0,12.62,2.01,14.63,1.61,0.00,1.61,0.00,5
17,Illinois,1,Adams County,2000,10.45,0.0,10.45,0.0,0.0,0.0,10.45,0.0,10.45,-,-,-,-,-,-,-
17,Illinois,1,Adams County,2005,12.05,0.0,12.05,0.0,0.0,0.0,12.05,0.0,12.05,-,-,-,-,-,0.00,-
17,Illinois,1,Adams County,2010,7.03,0.0,7.03,0.0,0.0,0.0,7.03,0.0,7.03,-,-,-,-,-,0.00,-
17,Illinois,1,Adams County,2015,5.68,0.0,5.68,0.0,0.0,0.0,5.68,0.0,5.68,-,-,-,-,-,0.00,2
17,Illinois,3,Alexander County,1985,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.65,0.66,0.23,0.00,0.23,0.00,-
17,Illinois,3,Alexander County,1990,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.39,0.40,0.03,0.00,0.03,0.00,1
17,Illinois,3,Alexander County,1995,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.35,0.36,0.04,0.00,0.04,0.00,1
17,Illinois,3,Alexander County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
17,Illinois,3,Alexander County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
17,Illinois,3,Alexander County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
17,Illinois,3,Alexander County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,1
17,Illinois,5,Bond County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.02,0.00,0.02,0.00,-
17,Illinois,5,Bond County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.00,0.00,0.00,0.00,2
17,Illinois,5,Bond County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,2
17,Illinois,5,Bond County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
17,Illinois,5,Bond County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
17,Illinois,5,Bond County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
17,Illinois,5,Bond County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,0
17,Illinois,7,Boone County,1985,1.36,0.0,1.36,0.0,0.0,0.0,1.36,0.0,1.36,1.11,2.47,0.83,0.00,0.83,0.00,-
17,Illinois,7,Boone County,1990,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,1.64,1.71,0.14,0.00,0.14,0.00,6
17,Illinois,7,Boone County,1995,0.18,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.18,1.18,1.36,0.15,0.00,0.15,0.00,7
17,Illinois,7,Boone County,2000,0.39,0.0,0.39,0.0,0.0,0.0,0.39,0.0,0.39,-,-,-,-,-,-,-
17,Illinois,7,Boone County,2005,0.42,0.0,0.42,0.0,0.0,0.0,0.42,0.0,0.42,-,-,-,-,-,0.00,-
17,Illinois,7,Boone County,2010,0.44,0.0,0.44,0.0,0.0,0.0,0.44,0.0,0.44,-,-,-,-,-,0.00,-
17,Illinois,7,Boone County,2015,0.43,0.0,0.43,0.0,0.0,0.0,0.43,0.0,0.43,-,-,-,-,-,0.00,4
17,Illinois,9,Brown County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
17,Illinois,9,Brown County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
17,Illinois,9,Brown County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
17,Illinois,9,Brown County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
17,Illinois,9,Brown County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
17,Illinois,9,Brown County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
17,Illinois,9,Brown County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,0
17,Illinois,11,Bureau County,1985,0.03,0.0,0.03,12.06,0.0,12.06,12.09,0.0,12.09,0.01,12.10,4.55,0.00,4.55,0.00,-
17,Illinois,11,Bureau County,1990,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.49,0.51,0.04,0.00,0.04,0.00,4
17,Illinois,11,Bureau County,1995,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.40,0.42,0.05,0.00,0.05,0.00,4
17,Illinois,11,Bureau County,2000,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,-,-
17,Illinois,11,Bureau County,2005,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,0.00,-
17,Illinois,11,Bureau County,2010,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,-,-,-,-,-,0.00,-
17,Illinois,11,Bureau County,2015,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,-,-,-,-,-,0.00,1
17,Illinois,13,Calhoun County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
17,Illinois,13,Calhoun County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
17,Illinois,13,Calhoun County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
17,Illinois,13,Calhoun County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
17,Illinois,13,Calhoun County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
17,Illinois,13,Calhoun County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
17,Illinois,13,Calhoun County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,1
17,Illinois,15,Carroll County,1985,6.87,0.0,6.87,0.0,0.0,0.0,6.87,0.0,6.87,0.25,7.12,2.38,0.00,2.38,0.00,-
17,Illinois,15,Carroll County,1990,1.96,0.0,1.96,0.0,0.0,0.0,1.96,0.0,1.96,0.17,2.13,0.17,0.00,0.17,0.00,3
17,Illinois,15,Carroll County,1995,2.24,0.0,2.24,0.0,0.0,0.0,2.24,0.0,2.24,0.12,2.36,0.26,0.00,0.26,0.00,5
17,Illinois,15,Carroll County,2000,1.97,0.0,1.97,0.0,0.0,0.0,1.97,0.0,1.97,-,-,-,-,-,-,-
17,Illinois,15,Carroll County,2005,2.29,0.0,2.29,0.0,0.0,0.0,2.29,0.0,2.29,-,-,-,-,-,0.00,-
17,Illinois,15,Carroll County,2010,2.19,0.0,2.19,0.0,0.0,0.0,2.19,0.0,2.19,-,-,-,-,-,0.00,-
17,Illinois,15,Carroll County,2015,2.74,0.0,2.74,0.0,0.0,0.0,2.74,0.0,2.74,-,-,-,-,-,0.00,3
17,Illinois,17,Cass County,1985,0.77,0.0,0.77,0.0,0.0,0.0,0.77,0.0,0.77,0.00,0.77,0.29,0.00,0.29,0.00,-
17,Illinois,17,Cass County,1990,1.7,0.0,1.7,0.0,0.0,0.0,1.7,0.0,1.7,0.00,1.70,0.19,0.00,0.19,0.00,1
17,Illinois,17,Cass County,1995,1.6,0.0,1.6,0.0,0.0,0.0,1.6,0.0,1.6,0.02,1.62,0.18,0.00,0.18,0.00,1
17,Illinois,17,Cass County,2000,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,-,-,-,-,-,-,-
17,Illinois,17,Cass County,2005,1.83,0.0,1.83,0.0,0.0,0.0,1.83,0.0,1.83,-,-,-,-,-,0.00,-
17,Illinois,17,Cass County,2010,1.68,0.0,1.68,0.0,0.0,0.0,1.68,0.0,1.68,-,-,-,-,-,0.00,-
17,Illinois,17,Cass County,2015,1.71,0.0,1.71,0.0,0.0,0.0,1.71,0.0,1.71,-,-,-,-,-,0.00,1
17,Illinois,19,Champaign County,1985,3.65,0.0,3.65,0.0,0.0,0.0,3.65,0.0,3.65,2.38,6.03,2.47,0.00,2.47,0.00,-
17,Illinois,19,Champaign County,1990,3.61,0.0,3.61,0.0,0.0,0.0,3.61,0.0,3.61,2.15,5.76,0.49,0.00,0.49,0.00,7
17,Illinois,19,Champaign County,1995,2.27,0.0,2.27,0.0,0.0,0.0,2.27,0.0,2.27,2.32,4.59,0.50,0.00,0.50,0.00,9
