state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
18,Indiana,1,Adams County,1985,0.01,0.0,0.01,1.64,0.0,1.64,1.65,0.0,1.65,7.11,8.76,0.34,0.00,0.34,0.00,-
18,Indiana,1,Adams County,1990,0.14,0.0,0.14,2.24,0.0,2.24,2.38,0.0,2.38,0.00,2.38,0.14,0.00,0.14,0.00,5
18,Indiana,1,Adams County,1995,0.19,0.0,0.19,1.49,0.0,1.49,1.68,0.0,1.68,0.97,2.65,0.16,0.00,0.16,0.00,4
18,Indiana,1,Adams County,2000,0.7,0.0,0.7,1.68,0.0,1.68,2.38,0.0,2.38,-,-,-,-,-,-,-
18,Indiana,1,Adams County,2005,0.44,0.0,0.44,2.09,0.0,2.09,2.53,0.0,2.53,-,-,-,-,-,0.00,-
18,Indiana,1,Adams County,2010,0.46,0.0,0.46,2.07,0.0,2.07,2.53,0.0,2.53,-,-,-,-,-,0.00,-
18,Indiana,1,Adams County,2015,0.59,0.0,0.59,2.49,0.0,2.49,3.08,0.0,3.08,-,-,-,-,-,-,5
18,Indiana,3,Allen County,1985,1.28,0.0,1.28,0.0,0.0,0.0,1.28,0.0,1.28,4.21,5.49,3.21,0.00,3.21,0.00,-
18,Indiana,3,Allen County,1990,1.41,0.0,1.41,6.44,0.0,6.44,7.85,0.0,7.85,7.71,15.56,0.93,0.00,0.93,0.00,14
18,Indiana,3,Allen County,1995,1.19,0.0,1.19,6.47,0.0,6.47,7.66,0.0,7.66,9.83,17.49,1.05,0.00,1.05,0.00,13
18,Indiana,3,Allen County,2000,1.08,0.0,1.08,1.17,0.0,1.17,2.25,0.0,2.25,-,-,-,-,-,-,-
18,Indiana,3,Allen County,2005,0.8,0.0,0.8,1.16,0.0,1.16,1.96,0.0,1.96,-,-,-,-,-,0.00,-
18,Indiana,3,Allen County,2010,0.69,0.0,0.69,0.58,0.0,0.58,1.27,0.0,1.27,-,-,-,-,-,0.00,-
18,Indiana,3,Allen County,2015,0.53,0.0,0.53,0.1,0.0,0.1,0.63,0.0,0.63,-,-,-,-,-,-,10
18,Indiana,5,Bartholomew County,1985,2.28,0.0,2.28,0.08,0.0,0.08,2.36,0.0,2.36,1.01,3.37,1.31,0.00,1.31,0.00,-
18,Indiana,5,Bartholomew County,1990,2.1,0.0,2.1,0.0,0.0,0.0,2.1,0.0,2.1,4.62,6.72,0.40,0.00,0.40,0.00,7
18,Indiana,5,Bartholomew County,1995,2.1,0.0,2.1,0.0,0.0,0.0,2.1,0.0,2.1,5.80,7.90,0.47,0.00,0.47,0.00,10
18,Indiana,5,Bartholomew County,2000,1.13,0.0,1.13,0.0,0.0,0.0,1.13,0.0,1.13,-,-,-,-,-,-,-
18,Indiana,5,Bartholomew County,2005,0.74,0.0,0.74,0.0,0.0,0.0,0.74,0.0,0.74,-,-,-,-,-,0.00,-
18,Indiana,5,Bartholomew County,2010,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,0.00,-
18,Indiana,5,Bartholomew County,2015,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,-,-,-,-,-,-,4
18,Indiana,7,Benton County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.02,0.00,0.02,0.00,-
18,Indiana,7,Benton County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
18,Indiana,7,Benton County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
18,Indiana,7,Benton County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
18,Indiana,7,Benton County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
18,Indiana,7,Benton County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
18,Indiana,7,Benton County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0
