state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
20,Kansas,1,Allen County,1985,0.01,0.0,0.01,1.65,0.0,1.65,1.66,0.0,1.66,0.22,1.88,0.62,0.00,0.62,0.00,-
20,Kansas,1,Allen County,1990,0.0,0.0,0.0,0.74,0.0,0.74,0.74,0.0,0.74,0.14,0.88,0.25,0.00,0.25,0.00,2
20,Kansas,1,Allen County,1995,0.0,0.0,0.0,0.49,0.0,0.49,0.49,0.0,0.49,0.18,0.67,0.26,0.00,0.26,0.00,1
20,Kansas,1,Allen County,2000,0.0,0.0,0.0,0.88,0.0,0.88,0.88,0.0,0.88,-,-,-,-,-,-,-
20,Kansas,1,Allen County,2005,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.0,0.6,-,-,-,-,-,-,-
20,Kansas,1,Allen County,2010,0.0,0.0,0.0,0.53,0.0,0.53,0.53,0.0,0.53,-,-,-,-,-,0.00,-
20,Kansas,1,Allen County,2015,0.08,0.0,0.08,0.03,0.0,0.03,0.11,0.0,0.11,-,-,-,-,-,-,-
20,Kansas,3,Anderson County,1985,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.16,0.17,0.06,0.00,0.06,0.00,-
20,Kansas,3,Anderson County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.01,0.00,0.01,0.00,0
20,Kansas,3,Anderson County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.01,0.00,0.01,0.00,0
20,Kansas,3,Anderson County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
20,Kansas,3,Anderson County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
20,Kansas,3,Anderson County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
20,Kansas,3,Anderson County,2015,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,-,-,-,-,-,-,-
20,Kansas,5,Atchison County,1985,2.81,0.0,2.81,0.0,0.0,0.0,2.81,0.0,2.81,0.93,3.74,1.23,0.00,1.23,0.00,-
20,Kansas,5,Atchison County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,1.79,0.77,0.00,0.77,0.00,0
20,Kansas,5,Atchison County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,1.82,1.27,0.00,1.27,0.00,1
20,Kansas,5,Atchison County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
20,Kansas,5,Atchison County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
20,Kansas,5,Atchison County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
20,Kansas,5,Atchison County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
20,Kansas,7,Barber County,1985,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.16,0.22,0.08,0.00,0.08,0.00,-
20,Kansas,7,Barber County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.12,0.00,0.12,0.00,0
20,Kansas,7,Barber County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.08,0.00,0.08,0.00,0
20,Kansas,7,Barber County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
20,Kansas,7,Barber County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
20,Kansas,7,Barber County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
20,Kansas,7,Barber County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
20,Kansas,9,Barton County,1985,1.51,0.0,1.51,0.0,0.0,0.0,1.51,0.0,1.51,0.14,1.65,0.54,0.00,0.54,0.00,-
20,Kansas,9,Barton County,1990,0.6,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.6,0.01,0.61,0.23,0.00,0.23,0.00,18
20,Kansas,9,Barton County,1995,0.81,0.0,0.81,0.0,0.0,0.0,0.81,0.0,0.81,0.06,0.87,0.11,0.00,0.11,0.00,8
20,Kansas,9,Barton County,2000,0.6,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.6,-,-,-,-,-,-,-
20,Kansas,9,Barton County,2005,0.42,0.0,0.42,0.0,0.0,0.0,0.42,0.0,0.42,-,-,-,-,-,-,-
20,Kansas,9,Barton County,2010,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,-,-,-,-,-,0.00,-
20,Kansas,9,Barton County,2015,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,-,-,-,-,-,-,-
20,Kansas,11,Bourbon County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.08,0.00,0.08,0.00,-
20,Kansas,11,Bourbon County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.09,0.00,0.09,0.00,0
20,Kansas,11,Bourbon County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.13,0.00,0.13,0.00,0
20,Kansas,11,Bourbon County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
20,Kansas,11,Bourbon County,2005,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.0,0.03,-,-,-,-,-,-,-
20,Kansas,11,Bourbon County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
20,Kansas,11,Bourbon County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
20,Kansas,13,Brown County,1985,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.04,0.09,0.03,0.00,0.03,0.00,-
20,Kansas,13,Brown County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
20,Kansas,13,Brown County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.00,0.00,0.00,0.00,0
20,Kansas,13,Brown County,2000,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,-,-,-,-,-,-,-
20,Kansas,13,Brown County,2005,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,-,-,-,-,-,-,-
20,Kansas,13,Brown County,2010,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,0.00,-
20,Kansas,13,Brown County,2015,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
20,Kansas,15,Butler County,1985,0.25,0.0,0.25,3.76,0.0,3.76,4.01,0.0,4.01,0.51,4.52,1.49,0.00,1.49,0.00,-
