state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
21,Kentucky,1,Adair County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.00,0.00,0.00,0.00,-
21,Kentucky,1,Adair County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.01,0.00,0.01,0.00,0
21,Kentucky,1,Adair County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.02,0.00,0.02,0.00,0
21,Kentucky,1,Adair County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,Kentucky,1,Adair County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,Kentucky,1,Adair County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
21,Kentucky,1,Adair County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,Kentucky,3,Allen County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.01,0.00,0.01,0.00,-
21,Kentucky,3,Allen County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.00,0.00,0.00,0.00,0
21,Kentucky,3,Allen County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.00,0.00,0.00,0.00,0
21,Kentucky,3,Allen County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,Kentucky,3,Allen County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,Kentucky,3,Allen County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
21,Kentucky,3,Allen County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,Kentucky,5,Anderson County,1985,0.0,0.0,0.0,0.96,0.0,0.96,0.96,0.0,0.96,0.33,1.29,0.07,0.00,0.07,0.00,-
21,Kentucky,5,Anderson County,1990,0.0,0.0,0.0,3.72,0.0,3.72,3.72,0.0,3.72,0.78,4.50,0.16,0.00,0.16,0.00,2
21,Kentucky,5,Anderson County,1995,0.0,0.0,0.0,1.17,0.0,1.17,1.17,0.0,1.17,0.25,1.42,0.06,0.00,0.06,0.00,2
21,Kentucky,5,Anderson County,2000,0.0,0.0,0.0,1.14,0.0,1.14,1.14,0.0,1.14,-,-,-,-,-,-,-
21,Kentucky,5,Anderson County,2005,0.0,0.0,0.0,1.25,0.0,1.25,1.25,0.0,1.25,-,-,-,-,-,-,-
21,Kentucky,5,Anderson County,2010,0.0,0.0,0.0,1.56,0.0,1.56,1.56,0.0,1.56,-,-,-,-,-,0.00,-
21,Kentucky,5,Anderson County,2015,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.0,0.11,-,-,-,-,-,-,-
21,Kentucky,7,Ballard County,1985,0.0,0.0,0.0,17.93,0.0,17.93,17.93,0.0,17.93,0.06,17.99,0.72,0.00,0.72,0.00,-
21,Kentucky,7,Ballard County,1990,1.36,0.0,1.36,24.1,0.0,24.1,25.46,0.0,25.46,0.02,25.48,0.92,0.00,0.92,0.00,2
21,Kentucky,7,Ballard County,1995,1.34,0.0,1.34,20.97,0.0,20.97,22.31,0.0,22.31,0.02,22.33,0.89,0.00,0.89,0.00,2
21,Kentucky,7,Ballard County,2000,1.17,0.0,1.17,24.28,0.0,24.28,25.45,0.0,25.45,-,-,-,-,-,-,-
21,Kentucky,7,Ballard County,2005,6.71,0.0,6.71,0.0,0.0,0.0,6.71,0.0,6.71,-,-,-,-,-,-,-
21,Kentucky,7,Ballard County,2010,8.54,0.0,8.54,22.04,0.0,22.04,30.58,0.0,30.58,-,-,-,-,-,0.00,-
21,Kentucky,7,Ballard County,2015,2.75,0.0,2.75,21.8,0.0,21.8,24.55,0.0,24.55,-,-,-,-,-,-,-
21,Kentucky,9,Barren County,1985,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,2.09,2.11,0.09,0.00,0.09,0.00,-
21,Kentucky,9,Barren County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,1.69,0.07,0.00,0.07,0.00,0
21,Kentucky,9,Barren County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,2.29,0.09,0.00,0.09,0.00,0
21,Kentucky,9,Barren County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,Kentucky,9,Barren County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,Kentucky,9,Barren County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
21,Kentucky,9,Barren County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,Kentucky,11,Bath County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.00,0.00,0.00,0.00,-
21,Kentucky,11,Bath County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.00,0.00,0.00,0.00,0
21,Kentucky,11,Bath County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.00,0.00,0.00,0.00,0
21,Kentucky,11,Bath County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,Kentucky,11,Bath County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,Kentucky,11,Bath County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
21,Kentucky,11,Bath County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,Kentucky,13,Bell County,1985,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.0,0.23,0.59,0.82,0.04,0.00,0.04,0.00,-
21,Kentucky,13,Bell County,1990,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.0,0.16,0.68,0.84,0.04,0.00,0.04,0.00,1
21,Kentucky,13,Bell County,1995,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.35,0.37,0.01,0.00,0.01,0.00,1
21,Kentucky,13,Bell County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,Kentucky,13,Bell County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,Kentucky,13,Bell County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
21,Kentucky,13,Bell County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,Kentucky,15,Boone County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.40,0.04,0.00,0.04,0.00,-
21,Kentucky,15,Boone County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.02,0.00,0.02,0.00,0
21,Kentucky,15,Boone County,1995,0.46,0.0,0.46,0.0,0.0,0.0,0.46,0.0,0.46,0.68,1.14,0.05,0.00,0.05,0.00,1
21,Kentucky,15,Boone County,2000,0.43,0.0,0.43,0.0,0.0,0.0,0.43,0.0,0.43,-,-,-,-,-,-,-
21,Kentucky,15,Boone County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
