state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
22,Louisiana,1,Acadia Parish,1985,2.31,0.0,2.31,0.0,0.0,0.0,2.31,0.0,2.31,0.00,2.31,0.00,0.00,0.00,0.00,-
22,Louisiana,1,Acadia Parish,1990,1.71,0.0,1.71,0.0,0.0,0.0,1.71,0.0,1.71,0.05,1.76,0.04,0.00,0.04,0.00,4
22,Louisiana,1,Acadia Parish,1995,0.35,0.0,0.35,0.0,0.0,0.0,0.35,0.0,0.35,0.00,0.35,0.25,0.00,0.25,0.00,3
22,Louisiana,1,Acadia Parish,2000,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,-,-,-,-,-,-,-
22,Louisiana,1,Acadia Parish,2005,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
22,Louisiana,1,Acadia Parish,2010,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
22,Louisiana,1,Acadia Parish,2015,0.58,0.0,0.58,0.0,0.0,0.0,0.58,0.0,0.58,-,-,-,-,-,-,-
22,Louisiana,3,Allen Parish,1985,0.48,0.0,0.48,0.0,0.0,0.0,0.48,0.0,0.48,0.00,0.48,0.48,0.00,0.48,0.00,-
22,Louisiana,3,Allen Parish,1990,0.43,0.0,0.43,0.0,0.0,0.0,0.43,0.0,0.43,0.00,0.43,0.23,0.00,0.23,0.00,2
22,Louisiana,3,Allen Parish,1995,0.37,0.0,0.37,0.0,0.0,0.0,0.37,0.0,0.37,0.09,0.46,0.36,0.00,0.36,0.00,2
22,Louisiana,3,Allen Parish,2000,0.28,0.0,0.28,0.0,0.0,0.0,0.28,0.0,0.28,-,-,-,-,-,-,-
22,Louisiana,3,Allen Parish,2005,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,-,-,-,-,-,-,-
22,Louisiana,3,Allen Parish,2010,0.13,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.13,-,-,-,-,-,-,-
22,Louisiana,3,Allen Parish,2015,0.33,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.33,-,-,-,-,-,-,-
22,Louisiana,5,Ascension Parish,1985,3.77,0.0,3.77,178.0,0.0,178.0,181.77,0.0,181.77,0.00,181.77,3.80,0.00,3.80,0.00,-
22,Louisiana,5,Ascension Parish,1990,11.48,0.0,11.48,180.05,0.0,180.05,191.53,0.0,191.53,0.19,191.72,32.85,0.00,32.85,0.00,16
22,Louisiana,5,Ascension Parish,1995,8.55,0.0,8.55,209.05,0.0,209.05,217.6,0.0,217.6,0.00,217.60,21.02,0.00,21.02,0.00,18
22,Louisiana,5,Ascension Parish,2000,7.57,0.0,7.57,199.46,0.0,199.46,207.03,0.0,207.03,-,-,-,-,-,-,-
22,Louisiana,5,Ascension Parish,2005,3.04,0.0,3.04,188.77,0.0,188.77,191.81,0.0,191.81,-,-,-,-,-,-,-
22,Louisiana,5,Ascension Parish,2010,2.94,0.0,2.94,149.44,0.0,149.44,152.38,0.0,152.38,-,-,-,-,-,-,-
22,Louisiana,5,Ascension Parish,2015,1.43,0.0,1.43,181.28,0.0,181.28,182.71,0.0,182.71,-,-,-,-,-,-,-
22,Louisiana,7,Assumption Parish,1985,4.27,0.0,4.27,5.06,0.0,5.06,9.33,0.0,9.33,0.00,9.33,4.30,0.00,4.30,0.00,-
22,Louisiana,7,Assumption Parish,1990,5.91,0.0,5.91,4.62,0.0,4.62,10.53,0.0,10.53,0.39,10.92,6.10,0.00,6.10,0.00,6
22,Louisiana,7,Assumption Parish,1995,10.64,0.0,10.64,13.15,0.0,13.15,23.79,0.0,23.79,0.47,24.26,11.25,0.00,11.25,0.00,6
22,Louisiana,7,Assumption Parish,2000,13.84,0.0,13.84,9.56,0.0,9.56,23.4,0.0,23.4,-,-,-,-,-,-,-
22,Louisiana,7,Assumption Parish,2005,14.14,0.0,14.14,1.52,0.0,1.52,15.66,0.0,15.66,-,-,-,-,-,-,-
22,Louisiana,7,Assumption Parish,2010,8.55,0.0,8.55,7.79,0.0,7.79,16.34,0.0,16.34,-,-,-,-,-,-,-
22,Louisiana,7,Assumption Parish,2015,9.19,0.0,9.19,6.52,0.0,6.52,15.71,0.0,15.71,-,-,-,-,-,-,-
22,Louisiana,9,Avoyelles Parish,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
22,Louisiana,9,Avoyelles Parish,1990,0.18,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.18,0.01,0.19,0.18,0.00,0.18,0.00,1
22,Louisiana,9,Avoyelles Parish,1995,0.44,0.0,0.44,0.0,0.0,0.0,0.44,0.0,0.44,0.47,0.91,0.08,0.00,0.08,0.00,2
22,Louisiana,9,Avoyelles Parish,2000,0.36,0.0,0.36,0.0,0.0,0.0,0.36,0.0,0.36,-,-,-,-,-,-,-
22,Louisiana,9,Avoyelles Parish,2005,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,-,-,-,-,-,-,-
22,Louisiana,9,Avoyelles Parish,2010,0.36,0.0,0.36,0.0,0.0,0.0,0.36,0.0,0.36,-,-,-,-,-,-,-
22,Louisiana,9,Avoyelles Parish,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
