state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
25,Massachusetts,1,Barnstable County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
25,Massachusetts,1,Barnstable County,1990,0.04,0.0,0.04,0.02,0.0,0.02,0.06,0.0,0.06,0.03,0.09,0.01,0.00,0.01,0.00,1
25,Massachusetts,1,Barnstable County,1995,0.48,0.0,0.48,0.0,0.0,0.0,0.48,0.0,0.48,0.40,0.88,0.07,0.00,0.07,0.00,577
25,Massachusetts,1,Barnstable County,2000,0.61,0.0,0.61,0.0,0.0,0.0,0.61,0.0,0.61,-,-,-,-,-,-,-
25,Massachusetts,1,Barnstable County,2005,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.12,-,-,-,-,-,-,-
25,Massachusetts,1,Barnstable County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
25,Massachusetts,1,Barnstable County,2015,0.12,0.0,0.12,0.01,0.0,0.01,0.13,0.0,0.13,-,-,-,-,-,-,-
25,Massachusetts,3,Berkshire County,1985,11.86,0.0,11.86,9.54,0.0,9.54,21.4,0.0,21.4,0.51,21.91,12.87,0.00,12.87,0.00,-
25,Massachusetts,3,Berkshire County,1990,18.78,0.0,18.78,6.24,0.0,6.24,25.02,0.0,25.02,2.79,27.81,2.78,0.00,2.78,0.00,14
25,Massachusetts,3,Berkshire County,1995,1.23,0.0,1.23,2.22,0.0,2.22,3.45,0.0,3.45,2.49,5.94,0.41,0.00,0.41,0.00,577
25,Massachusetts,3,Berkshire County,2000,2.24,0.0,2.24,8.95,0.0,8.95,11.19,0.0,11.19,-,-,-,-,-,-,-
25,Massachusetts,3,Berkshire County,2005,2.84,0.0,2.84,11.37,0.0,11.37,14.21,0.0,14.21,-,-,-,-,-,-,-
25,Massachusetts,3,Berkshire County,2010,0.67,0.0,0.67,3.65,0.0,3.65,4.32,0.0,4.32,-,-,-,-,-,-,-
25,Massachusetts,3,Berkshire County,2015,4.98,0.0,4.98,2.13,0.0,2.13,7.11,0.0,7.11,-,-,-,-,-,-,-
25,Massachusetts,5,Bristol County,1985,1.93,0.0,1.93,13.19,0.0,13.19,15.12,0.0,15.12,11.00,26.12,4.45,0.00,4.45,0.00,-
25,Massachusetts,5,Bristol County,1990,1.31,0.0,1.31,0.44,0.0,0.44,1.75,0.0,1.75,9.67,11.42,1.14,0.00,1.14,0.00,164
25,Massachusetts,5,Bristol County,1995,3.95,0.0,3.95,4.0,0.0,4.0,7.95,0.0,7.95,7.60,15.55,1.19,0.00,1.19,0.00,577
25,Massachusetts,5,Bristol County,2000,0.11,0.0,0.11,0.26,0.0,0.26,0.37,0.0,0.37,-,-,-,-,-,-,-
25,Massachusetts,5,Bristol County,2005,0.4,0.0,0.4,0.95,0.0,0.95,1.35,0.0,1.35,-,-,-,-,-,-,-
25,Massachusetts,5,Bristol County,2010,0.08,0.0,0.08,0.12,0.0,0.12,0.2,0.0,0.2,-,-,-,-,-,-,-
25,Massachusetts,5,Bristol County,2015,0.62,0.0,0.62,0.3,0.0,0.3,0.92,0.0,0.92,-,-,-,-,-,-,-
25,Massachusetts,7,Dukes County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
25,Massachusetts,7,Dukes County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,2
25,Massachusetts,7,Dukes County,1995,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.04,0.00,0.00,0.00,0.00,577
25,Massachusetts,7,Dukes County,2000,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,-,-
