state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
24,Maryland,1,Allegany County,1985,0.02,0.0,0.02,44.93,0.0,44.93,44.95,0.0,44.95,3.34,48.29,7.24,0.00,7.24,0.00,-
24,Maryland,1,Allegany County,1990,0.04,0.0,0.04,45.06,0.0,45.06,45.1,0.0,45.1,1.64,46.74,7.01,0.00,7.01,0.00,24
24,Maryland,1,Allegany County,1995,0.04,0.0,0.04,42.65,0.0,42.65,42.69,0.0,42.69,1.50,44.19,6.63,0.00,6.63,0.00,24
24,Maryland,1,Allegany County,2000,0.04,0.0,0.04,46.76,0.0,46.76,46.8,0.0,46.8,-,-,-,-,-,-,-
24,Maryland,1,Allegany County,2005,0.12,0.0,0.12,42.06,0.0,42.06,42.18,0.0,42.18,-,-,-,-,-,-,-
24,Maryland,1,Allegany County,2010,0.02,0.0,0.02,37.66,0.0,37.66,37.68,0.0,37.68,1.90,39.58,-,-,-,-,12
24,Maryland,1,Allegany County,2015,0.02,0.0,0.02,37.13,0.0,37.13,37.15,0.0,37.15,1.50,38.65,-,-,-,-,11
24,Maryland,3,Anne Arundel County,1985,2.66,0.0,2.66,0.02,0.0,0.02,2.68,0.0,2.68,3.36,6.04,1.51,0.00,1.51,0.00,-
24,Maryland,3,Anne Arundel County,1990,2.46,0.0,2.46,0.03,0.01,0.04,2.49,0.01,2.5,1.88,4.38,0.65,0.00,0.65,0.00,43
24,Maryland,3,Anne Arundel County,1995,1.62,0.0,1.62,0.04,0.01,0.05,1.66,0.01,1.67,1.22,2.89,0.42,0.00,0.42,0.00,47
24,Maryland,3,Anne Arundel County,2000,1.77,0.0,1.77,0.01,0.6,0.61,1.78,0.6,2.38,-,-,-,-,-,-,-
24,Maryland,3,Anne Arundel County,2005,0.99,0.0,0.99,0.03,1.03,1.06,1.02,1.03,2.05,-,-,-,-,-,-,-
24,Maryland,3,Anne Arundel County,2010,0.11,0.0,0.11,0.01,0.6,0.61,0.12,0.6,0.72,0.19,0.91,-,-,-,-,23
24,Maryland,3,Anne Arundel County,2015,0.05,0.0,0.05,0.01,0.59,0.6,0.06,0.59,0.65,0.18,0.83,-,-,-,-,17
