state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
23,Maine,1,Androscoggin County,1985,0.09,0.0,0.09,45.43,0.0,45.43,45.52,0.0,45.52,2.06,47.58,7.14,0.00,7.14,0.00,-
23,Maine,1,Androscoggin County,1990,0.33,0.0,0.33,8.13,0.0,8.13,8.46,0.0,8.46,1.41,9.87,0.99,0.00,0.99,0.00,0
23,Maine,1,Androscoggin County,1995,0.34,0.0,0.34,0.12,0.0,0.12,0.46,0.0,0.46,1.54,2.00,0.20,0.00,0.20,0.00,1
23,Maine,1,Androscoggin County,2000,0.15,0.0,0.15,3.53,0.0,3.53,3.68,0.0,3.68,-,-,-,-,-,-,-
23,Maine,1,Androscoggin County,2005,0.57,0.0,0.57,0.08,0.0,0.08,0.65,0.0,0.65,-,-,-,-,-,-,-
23,Maine,1,Androscoggin County,2010,0.26,0.0,0.26,1.24,0.0,1.24,1.5,0.0,1.5,-,-,-,-,-,-,-
23,Maine,1,Androscoggin County,2015,0.76,0.0,0.76,1.26,0.0,1.26,2.02,0.0,2.02,-,-,-,-,-,-,-
23,Maine,3,Aroostook County,1985,2.11,0.0,2.11,24.25,0.0,24.25,26.36,0.0,26.36,0.79,27.15,4.07,0.00,4.07,0.00,-
23,Maine,3,Aroostook County,1990,0.29,0.0,0.29,7.17,0.0,7.17,7.46,0.0,7.46,0.65,8.11,0.81,0.00,0.81,0.00,0
23,Maine,3,Aroostook County,1995,0.77,0.0,0.77,0.26,0.0,0.26,1.03,0.0,1.03,0.44,1.47,0.15,0.00,0.15,0.00,1
