state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
26,Michigan,1,Alcona County,1985,0.03,0.0,0.03,6.34,0.0,6.34,6.37,0.0,6.37,0.07,6.44,0.19,0.00,0.19,0.00,-
26,Michigan,1,Alcona County,1990,0.03,0.0,0.03,1.08,0.0,1.08,1.11,0.0,1.11,0.07,1.18,0.05,0.00,0.05,0.00,0
26,Michigan,1,Alcona County,1995,0.01,0.0,0.01,0.52,0.0,0.52,0.53,0.0,0.53,0.14,0.67,0.04,0.00,0.04,0.00,75
26,Michigan,1,Alcona County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
26,Michigan,1,Alcona County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
26,Michigan,1,Alcona County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0
26,Michigan,1,Alcona County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0
26,Michigan,3,Alger County,1985,0.06,0.0,0.06,1.43,0.0,1.43,1.49,0.0,1.49,0.13,1.62,0.15,0.00,0.15,0.00,-
26,Michigan,3,Alger County,1990,0.17,0.0,0.17,4.05,0.0,4.05,4.22,0.0,4.22,0.13,4.35,0.29,0.00,0.29,0.00,0
26,Michigan,3,Alger County,1995,0.1,0.0,0.1,2.18,0.0,2.18,2.28,0.0,2.28,0.53,2.81,0.15,0.00,0.15,0.00,57
26,Michigan,3,Alger County,2000,0.24,0.0,0.24,5.38,0.0,5.38,5.62,0.0,5.62,-,-,-,-,-,-,-
26,Michigan,3,Alger County,2005,0.35,0.0,0.35,5.67,0.0,5.67,6.02,0.0,6.02,-,-,-,-,-,-,-
26,Michigan,3,Alger County,2010,0.44,0.0,0.44,4.11,0.0,4.11,4.55,0.0,4.55,-,-,-,-,-,-,2
26,Michigan,3,Alger County,2015,0.28,0.0,0.28,3.64,0.0,3.64,3.92,0.0,3.92,-,-,-,-,-,-,2
26,Michigan,5,Allegan County,1985,0.3,0.0,0.3,7.14,0.0,7.14,7.44,0.0,7.44,2.01,9.45,0.67,0.00,0.67,0.00,-
26,Michigan,5,Allegan County,1990,0.33,0.0,0.33,8.8,0.0,8.8,9.13,0.0,9.13,2.01,11.14,0.72,0.00,0.72,0.00,0
26,Michigan,5,Allegan County,1995,4.79,0.0,4.79,0.44,0.0,0.44,5.23,0.0,5.23,1.25,6.48,0.58,0.00,0.58,0.00,484
26,Michigan,5,Allegan County,2000,6.79,0.0,6.79,0.63,0.0,0.63,7.42,0.0,7.42,-,-,-,-,-,-,-
