state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
27,Minnesota,1,Aitkin County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.00,0.01,0.00,-
27,Minnesota,1,Aitkin County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.01,0.00,0.01,0.00,0
27,Minnesota,1,Aitkin County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,1
27,Minnesota,1,Aitkin County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,1,Aitkin County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,1,Aitkin County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
27,Minnesota,1,Aitkin County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,3,Anoka County,1985,0.77,0.0,0.77,0.0,0.0,0.0,0.77,0.0,0.77,1.74,2.51,1.17,0.00,1.17,0.00,-
27,Minnesota,3,Anoka County,1990,0.28,0.0,0.28,0.0,0.0,0.0,0.28,0.0,0.28,3.58,3.86,0.39,0.00,0.39,0.00,0
27,Minnesota,3,Anoka County,1995,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.4,0.20,0.60,0.07,0.00,0.07,0.00,14
27,Minnesota,3,Anoka County,2000,0.19,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.19,-,-,-,-,-,-,-
27,Minnesota,3,Anoka County,2005,0.91,0.0,0.91,0.55,0.0,0.55,1.46,0.0,1.46,-,-,-,-,-,-,-
27,Minnesota,3,Anoka County,2010,0.31,0.0,0.31,0.13,0.0,0.13,0.44,0.0,0.44,-,-,-,-,-,0.00,-
27,Minnesota,3,Anoka County,2015,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,-,-,-,-,-,-,-
27,Minnesota,5,Becker County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.04,0.00,0.04,0.00,-
27,Minnesota,5,Becker County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
27,Minnesota,5,Becker County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
27,Minnesota,5,Becker County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,5,Becker County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,5,Becker County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
27,Minnesota,5,Becker County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,7,Beltrami County,1985,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.14,0.15,0.04,0.00,0.04,0.00,-
27,Minnesota,7,Beltrami County,1990,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.06,0.08,0.01,0.00,0.01,0.00,0
27,Minnesota,7,Beltrami County,1995,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.00,0.01,0.00,0.00,0.00,0.00,6
27,Minnesota,7,Beltrami County,2000,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,-,-
27,Minnesota,7,Beltrami County,2005,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.4,-,-,-,-,-,-,-
27,Minnesota,7,Beltrami County,2010,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,-,-,-,-,-,0.00,-
27,Minnesota,7,Beltrami County,2015,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,-,-,-,-,-,-,-
27,Minnesota,9,Benton County,1985,0.01,0.0,0.01,9.97,0.0,9.97,9.98,0.0,9.98,0.11,10.09,1.31,0.00,1.31,0.00,-
27,Minnesota,9,Benton County,1990,0.0,0.0,0.0,10.4,0.0,10.4,10.4,0.0,10.4,0.00,10.40,1.35,0.00,1.35,0.00,0
27,Minnesota,9,Benton County,1995,0.1,0.0,0.1,9.1,0.0,9.1,9.2,0.0,9.2,0.11,9.31,1.21,0.00,1.21,0.00,5
27,Minnesota,9,Benton County,2000,0.03,0.0,0.03,9.57,0.0,9.57,9.6,0.0,9.6,-,-,-,-,-,-,-
27,Minnesota,9,Benton County,2005,0.01,0.0,0.01,9.94,0.0,9.94,9.95,0.0,9.95,-,-,-,-,-,-,-
27,Minnesota,9,Benton County,2010,0.3,0.0,0.3,9.33,0.0,9.33,9.63,0.0,9.63,-,-,-,-,-,0.00,-
27,Minnesota,9,Benton County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,11,Big Stone County,1985,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,0.06,0.13,0.00,0.00,0.00,0.00,-
27,Minnesota,11,Big Stone County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.00,0.00,0.00,0.00,0
27,Minnesota,11,Big Stone County,1995,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.00,0.05,0.00,0.00,0.00,0.00,2
27,Minnesota,11,Big Stone County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,11,Big Stone County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,11,Big Stone County,2010,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.0,0.03,-,-,-,-,-,0.00,-
27,Minnesota,11,Big Stone County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,13,Blue Earth County,1985,3.39,0.0,3.39,0.0,0.0,0.0,3.39,0.0,3.39,0.48,3.87,0.25,0.00,0.25,0.00,-
27,Minnesota,13,Blue Earth County,1990,3.48,0.0,3.48,0.0,0.0,0.0,3.48,0.0,3.48,0.73,4.21,0.66,0.00,0.66,0.00,0
27,Minnesota,13,Blue Earth County,1995,3.64,0.0,3.64,0.0,0.0,0.0,3.64,0.0,3.64,0.46,4.10,0.66,0.00,0.66,0.00,7
27,Minnesota,13,Blue Earth County,2000,3.96,0.0,3.96,0.0,0.0,0.0,3.96,0.0,3.96,-,-,-,-,-,-,-
27,Minnesota,13,Blue Earth County,2005,3.35,0.0,3.35,0.0,0.0,0.0,3.35,0.0,3.35,-,-,-,-,-,-,-
27,Minnesota,13,Blue Earth County,2010,4.06,0.0,4.06,0.0,0.0,0.0,4.06,0.0,4.06,-,-,-,-,-,0.00,-
27,Minnesota,13,Blue Earth County,2015,3.64,0.0,3.64,0.0,0.0,0.0,3.64,0.0,3.64,-,-,-,-,-,-,-
27,Minnesota,15,Brown County,1985,0.29,0.0,0.29,0.0,0.0,0.0,0.29,0.0,0.29,0.13,0.42,0.10,0.00,0.10,0.00,-
27,Minnesota,15,Brown County,1990,0.21,0.0,0.21,0.0,0.0,0.0,0.21,0.0,0.21,0.09,0.30,0.04,0.00,0.04,0.00,0
27,Minnesota,15,Brown County,1995,0.31,0.0,0.31,0.0,0.0,0.0,0.31,0.0,0.31,0.30,0.61,0.08,0.00,0.08,0.00,6
27,Minnesota,15,Brown County,2000,0.23,0.0,0.23,0.0,0.0,0.0,0.23,0.0,0.23,-,-,-,-,-,-,-
27,Minnesota,15,Brown County,2005,0.18,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.18,-,-,-,-,-,-,-
27,Minnesota,15,Brown County,2010,0.18,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.18,-,-,-,-,-,0.00,-
27,Minnesota,15,Brown County,2015,0.19,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.19,-,-,-,-,-,-,-
27,Minnesota,17,Carlton County,1985,0.0,0.0,0.0,10.56,0.0,10.56,10.56,0.0,10.56,0.21,10.77,10.54,0.00,10.54,0.00,-
27,Minnesota,17,Carlton County,1990,0.0,0.0,0.0,7.35,0.0,7.35,7.35,0.0,7.35,0.00,7.35,0.96,0.00,0.96,0.00,0
27,Minnesota,17,Carlton County,1995,0.0,0.0,0.0,8.07,0.0,8.07,8.07,0.0,8.07,10.21,18.28,2.07,0.00,2.07,0.00,6
27,Minnesota,17,Carlton County,2000,0.0,0.0,0.0,7.96,0.0,7.96,7.96,0.0,7.96,-,-,-,-,-,-,-
27,Minnesota,17,Carlton County,2005,0.0,0.0,0.0,5.78,0.0,5.78,5.78,0.0,5.78,-,-,-,-,-,-,-
27,Minnesota,17,Carlton County,2010,0.0,0.0,0.0,5.47,0.0,5.47,5.47,0.0,5.47,-,-,-,-,-,0.00,-
27,Minnesota,17,Carlton County,2015,0.0,0.0,0.0,6.78,0.0,6.78,6.78,0.0,6.78,-,-,-,-,-,-,-
27,Minnesota,19,Carver County,1985,0.56,0.0,0.56,0.0,0.0,0.0,0.56,0.0,0.56,0.28,0.84,0.23,0.00,0.23,0.00,-
27,Minnesota,19,Carver County,1990,0.83,0.0,0.83,0.0,0.0,0.0,0.83,0.0,0.83,0.63,1.46,0.39,0.00,0.39,0.00,0
27,Minnesota,19,Carver County,1995,0.6,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.6,0.77,1.37,0.17,0.00,0.17,0.00,8
27,Minnesota,19,Carver County,2000,0.66,0.0,0.66,0.0,0.0,0.0,0.66,0.0,0.66,-,-,-,-,-,-,-
27,Minnesota,19,Carver County,2005,0.51,0.0,0.51,0.0,0.0,0.0,0.51,0.0,0.51,-,-,-,-,-,-,-
27,Minnesota,19,Carver County,2010,0.49,0.0,0.49,0.0,0.0,0.0,0.49,0.0,0.49,-,-,-,-,-,0.00,-
27,Minnesota,19,Carver County,2015,0.68,0.0,0.68,0.0,0.0,0.0,0.68,0.0,0.68,-,-,-,-,-,-,-
27,Minnesota,21,Cass County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.02,0.00,0.02,0.00,-
27,Minnesota,21,Cass County,1990,0.16,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.16,0.00,0.16,0.16,0.00,0.16,0.00,0
27,Minnesota,21,Cass County,1995,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,0.00,0.14,0.00,0.00,0.00,0.00,15
27,Minnesota,21,Cass County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,21,Cass County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,21,Cass County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
27,Minnesota,21,Cass County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,23,Chippewa County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.03,0.00,0.03,0.00,-
27,Minnesota,23,Chippewa County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.01,0.00,0.01,0.00,0
27,Minnesota,23,Chippewa County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.00,0.00,0.00,0.00,0
27,Minnesota,23,Chippewa County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,23,Chippewa County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,23,Chippewa County,2010,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.0,0.26,-,-,-,-,-,0.00,-
27,Minnesota,23,Chippewa County,2015,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.33,-,-,-,-,-,-,-
27,Minnesota,25,Chisago County,1985,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.14,0.16,0.05,0.00,0.05,0.00,-
27,Minnesota,25,Chisago County,1990,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0
27,Minnesota,25,Chisago County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.00,0.00,0.00,0.00,0
27,Minnesota,25,Chisago County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,25,Chisago County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,25,Chisago County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
27,Minnesota,25,Chisago County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,27,Clay County,1985,0.08,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.45,0.53,0.06,0.00,0.06,0.00,-
27,Minnesota,27,Clay County,1990,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.0,0.28,0.02,0.30,0.04,0.00,0.04,0.00,0
27,Minnesota,27,Clay County,1995,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.0,0.28,1.08,1.36,0.15,0.00,0.15,0.00,2
27,Minnesota,27,Clay County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,27,Clay County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,27,Clay County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
27,Minnesota,27,Clay County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,29,Clearwater County,1985,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.03,0.09,0.03,0.00,0.03,0.00,-
27,Minnesota,29,Clearwater County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
27,Minnesota,29,Clearwater County,1995,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.00,0.02,0.00,0.00,0.00,0.00,3
27,Minnesota,29,Clearwater County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,29,Clearwater County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,29,Clearwater County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
27,Minnesota,29,Clearwater County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,Minnesota,31,Cook County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
27,Minnesota,31,Cook County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
27,Minnesota,31,Cook County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
