state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
29,Missouri,1,Adair County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
29,Missouri,1,Adair County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
29,Missouri,1,Adair County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
29,Missouri,1,Adair County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
29,Missouri,1,Adair County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
29,Missouri,1,Adair County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
29,Missouri,1,Adair County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
29,Missouri,3,Andrew County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
29,Missouri,3,Andrew County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
29,Missouri,3,Andrew County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
29,Missouri,3,Andrew County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
29,Missouri,3,Andrew County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
29,Missouri,3,Andrew County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
29,Missouri,3,Andrew County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
29,Missouri,5,Atchison County,1985,1.2,0.0,1.2,0.0,0.0,0.0,1.2,0.0,1.2,0.00,1.20,0.16,0.00,0.16,0.00,-
29,Missouri,5,Atchison County,1990,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,0.07,0.21,0.04,0.00,0.04,0.00,0
29,Missouri,5,Atchison County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.01,0.00,0.01,0.00,1
29,Missouri,5,Atchison County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
29,Missouri,5,Atchison County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
29,Missouri,5,Atchison County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
29,Missouri,5,Atchison County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
29,Missouri,7,Audrain County,1985,0.43,0.0,0.43,0.07,0.0,0.07,0.5,0.0,0.5,0.00,0.50,0.07,0.00,0.07,0.00,-
29,Missouri,7,Audrain County,1990,0.32,0.0,0.32,0.29,0.0,0.29,0.61,0.0,0.61,0.00,0.61,0.09,0.00,0.09,0.00,0
29,Missouri,7,Audrain County,1995,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.0,0.24,0.00,0.24,0.04,0.00,0.04,0.00,1
29,Missouri,7,Audrain County,2000,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.3,-,-,-,-,-,-,-
29,Missouri,7,Audrain County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
29,Missouri,7,Audrain County,2010,0.57,0.0,0.57,0.0,0.0,0.0,0.57,0.0,0.57,-,-,-,-,-,0.00,-
