state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
28,Mississippi,1,Adams County,1985,35.67,0.0,35.67,0.0,0.0,0.0,35.67,0.0,35.67,0.07,35.74,6.08,0.00,6.08,0.00,-
28,Mississippi,1,Adams County,1990,42.45,0.0,42.45,0.0,0.0,0.0,42.45,0.0,42.45,0.41,42.86,7.22,0.00,7.22,0.00,4
28,Mississippi,1,Adams County,1995,46.03,0.0,46.03,0.0,0.0,0.0,46.03,0.0,46.03,0.33,46.36,7.83,0.00,7.83,0.00,4
28,Mississippi,1,Adams County,2000,43.55,0.0,43.55,0.0,0.0,0.0,43.55,0.0,43.55,-,-,-,-,-,-,-
28,Mississippi,1,Adams County,2005,1.62,0.0,1.62,0.0,0.0,0.0,1.62,0.0,1.62,-,-,-,-,-,-,-
28,Mississippi,1,Adams County,2010,1.87,0.0,1.87,0.0,0.0,0.0,1.87,0.0,1.87,-,-,-,-,-,-,-
28,Mississippi,1,Adams County,2015,1.66,0.0,1.66,0.0,0.0,0.0,1.66,0.0,1.66,-,-,-,-,-,0.00,-
28,Mississippi,3,Alcorn County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60,1.60,0.27,0.00,0.27,0.00,-
28,Mississippi,3,Alcorn County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.00,0.00,0.00,0.00,1
28,Mississippi,3,Alcorn County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.00,0.00,0.00,0.00,1
28,Mississippi,3,Alcorn County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
28,Mississippi,3,Alcorn County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
28,Mississippi,3,Alcorn County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
28,Mississippi,3,Alcorn County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
28,Mississippi,5,Amite County,1985,0.45,0.0,0.45,0.0,0.0,0.0,0.45,0.0,0.45,0.19,0.64,0.00,0.00,0.00,0.00,-
28,Mississippi,5,Amite County,1990,0.45,0.0,0.45,0.0,0.0,0.0,0.45,0.0,0.45,0.03,0.48,0.08,0.00,0.08,0.00,1
28,Mississippi,5,Amite County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.00,0.00,0.00,0.00,0
28,Mississippi,5,Amite County,2000,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,-,-,-,-,-,-,-
28,Mississippi,5,Amite County,2005,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,-,-,-,-,-,-,-
28,Mississippi,5,Amite County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
28,Mississippi,5,Amite County,2015,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,0.00,-
28,Mississippi,7,Attala County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.05,0.00,0.05,0.00,-
28,Mississippi,7,Attala County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.00,0.00,0.00,0.00,0
28,Mississippi,7,Attala County,1995,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.23,0.24,0.00,0.00,0.00,0.00,1
28,Mississippi,7,Attala County,2000,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
28,Mississippi,7,Attala County,2005,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
28,Mississippi,7,Attala County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
28,Mississippi,7,Attala County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
28,Mississippi,9,Benton County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
28,Mississippi,9,Benton County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.00,0.00,0.00,0.00,0
28,Mississippi,9,Benton County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.00,0.00,0.00,0.00,0
28,Mississippi,9,Benton County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
28,Mississippi,9,Benton County,2005,0.79,0.0,0.79,0.0,0.0,0.0,0.79,0.0,0.79,-,-,-,-,-,-,-
28,Mississippi,9,Benton County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
28,Mississippi,9,Benton County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
28,Mississippi,11,Bolivar County,1985,2.03,0.0,2.03,0.0,0.0,0.0,2.03,0.0,2.03,0.06,2.09,0.63,0.00,0.63,0.00,-
28,Mississippi,11,Bolivar County,1990,3.41,0.0,3.41,0.0,0.0,0.0,3.41,0.0,3.41,0.30,3.71,0.58,0.00,0.58,0.00,4
28,Mississippi,11,Bolivar County,1995,1.19,0.0,1.19,0.0,0.0,0.0,1.19,0.0,1.19,0.33,1.52,0.20,0.00,0.20,0.00,6
28,Mississippi,11,Bolivar County,2000,1.16,0.0,1.16,0.0,0.0,0.0,1.16,0.0,1.16,-,-,-,-,-,-,-
28,Mississippi,11,Bolivar County,2005,1.45,0.0,1.45,0.0,0.0,0.0,1.45,0.0,1.45,-,-,-,-,-,-,-
28,Mississippi,11,Bolivar County,2010,1.06,0.0,1.06,0.0,0.0,0.0,1.06,0.0,1.06,-,-,-,-,-,-,-
28,Mississippi,11,Bolivar County,2015,0.85,0.0,0.85,0.0,0.0,0.0,0.85,0.0,0.85,-,-,-,-,-,0.00,-
28,Mississippi,13,Calhoun County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.00,0.01,0.00,-
28,Mississippi,13,Calhoun County,1990,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.3,0.04,0.34,0.05,0.00,0.05,0.00,1
28,Mississippi,13,Calhoun County,1995,43.08,0.0,43.08,0.0,0.0,0.0,43.08,0.0,43.08,0.09,43.17,7.32,0.00,7.32,0.00,2
28,Mississippi,13,Calhoun County,2000,0.42,0.0,0.42,0.0,0.0,0.0,0.42,0.0,0.42,-,-,-,-,-,-,-
28,Mississippi,13,Calhoun County,2005,0.44,0.0,0.44,0.0,0.0,0.0,0.44,0.0,0.44,-,-,-,-,-,-,-
28,Mississippi,13,Calhoun County,2010,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,-,-,-,-,-,-,-
28,Mississippi,13,Calhoun County,2015,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,-,-,-,-,-,0.00,-
28,Mississippi,15,Carroll County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
28,Mississippi,15,Carroll County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.00,0.00,0.00,0.00,0
28,Mississippi,15,Carroll County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.00,0.00,0.00,0.00,0
28,Mississippi,15,Carroll County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
28,Mississippi,15,Carroll County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
28,Mississippi,15,Carroll County,2010,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
28,Mississippi,15,Carroll County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
28,Mississippi,17,Chickasaw County,1985,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.05,0.07,0.01,0.00,0.01,0.00,-
28,Mississippi,17,Chickasaw County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.00,0.00,0.00,0.00,1
28,Mississippi,17,Chickasaw County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.00,0.00,0.00,0.00,1
28,Mississippi,17,Chickasaw County,2000,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,-,-,-,-,-,-,-
28,Mississippi,17,Chickasaw County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
28,Mississippi,17,Chickasaw County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
28,Mississippi,17,Chickasaw County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
28,Mississippi,19,Choctaw County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.03,0.00,0.03,0.00,-
28,Mississippi,19,Choctaw County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.00,0.00,0.00,0.00,0
28,Mississippi,19,Choctaw County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.00,0.00,0.00,0.00,0
28,Mississippi,19,Choctaw County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
28,Mississippi,19,Choctaw County,2005,3.82,0.0,3.82,0.0,0.0,0.0,3.82,0.0,3.82,-,-,-,-,-,-,-
28,Mississippi,19,Choctaw County,2010,5.87,0.0,5.87,0.0,0.0,0.0,5.87,0.0,5.87,-,-,-,-,-,-,-
28,Mississippi,19,Choctaw County,2015,5.27,0.0,5.27,0.0,0.0,0.0,5.27,0.0,5.27,-,-,-,-,-,0.00,-
28,Mississippi,21,Claiborne County,1985,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.05,0.08,0.02,0.00,0.02,0.00,-
28,Mississippi,21,Claiborne County,1990,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.06,0.01,0.00,0.01,0.00,1
28,Mississippi,21,Claiborne County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.00,0.00,0.00,0.00,0
28,Mississippi,21,Claiborne County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
