state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
30,Montana,1,Beaverhead County,1985,0.09,0.0,0.09,0.14,0.0,0.14,0.23,0.0,0.23,0.01,0.24,0.05,0.00,0.05,0.00,-
30,Montana,1,Beaverhead County,1990,0.1,0.0,0.1,0.15,0.0,0.15,0.25,0.0,0.25,0.01,0.26,0.04,0.00,0.04,0.00,18
30,Montana,1,Beaverhead County,1995,0.11,0.0,0.11,0.16,0.0,0.16,0.27,0.0,0.27,0.01,0.28,0.04,0.00,0.04,0.00,18
30,Montana,1,Beaverhead County,2000,0.11,0.0,0.11,0.16,0.0,0.16,0.27,0.0,0.27,-,-,-,-,-,-,-
30,Montana,1,Beaverhead County,2005,0.16,0.0,0.16,0.24,0.0,0.24,0.4,0.0,0.4,-,-,-,-,-,0.00,-
30,Montana,1,Beaverhead County,2010,0.13,0.0,0.13,0.2,0.0,0.2,0.33,0.0,0.33,-,-,-,-,-,0.00,-
30,Montana,1,Beaverhead County,2015,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,0.01,0.03,0.00,-,-,-,36
30,Montana,3,Big Horn County,1985,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.01,0.00,0.01,0.00,-
30,Montana,3,Big Horn County,1990,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.00,0.00,0.00,0.00,13
30,Montana,3,Big Horn County,1995,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.00,0.00,0.00,0.00,13
30,Montana,3,Big Horn County,2000,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
30,Montana,3,Big Horn County,2005,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,0.00,-
30,Montana,3,Big Horn County,2010,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,-,-,-,-,-,0.00,-
30,Montana,3,Big Horn County,2015,0.13,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.13,0.01,0.14,0.01,-,-,-,14
30,Montana,5,Blaine County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
30,Montana,5,Blaine County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,5
30,Montana,5,Blaine County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,5
30,Montana,5,Blaine County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
30,Montana,5,Blaine County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
30,Montana,5,Blaine County,2010,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,-,-,-,-,-,0.00,-
30,Montana,5,Blaine County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.00,-,-,-,8
30,Montana,7,Broadwater County,1985,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.00,0.00,0.00,0.00,-
30,Montana,7,Broadwater County,1990,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.00,0.00,0.00,0.00,8
30,Montana,7,Broadwater County,1995,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.00,0.00,0.00,0.00,8
30,Montana,7,Broadwater County,2000,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
30,Montana,7,Broadwater County,2005,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,-,-,-,-,-,0.00,-
30,Montana,7,Broadwater County,2010,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,-,-,-,-,-,0.00,-
30,Montana,7,Broadwater County,2015,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.01,0.10,0.01,-,-,-,24
30,Montana,9,Carbon County,1985,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.01,0.10,0.02,0.00,0.02,0.00,-
30,Montana,9,Carbon County,1990,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.01,0.11,0.01,0.00,0.01,0.00,18
30,Montana,9,Carbon County,1995,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.11,0.01,0.12,0.01,0.00,0.01,0.00,18
30,Montana,9,Carbon County,2000,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.12,-,-,-,-,-,-,-
