state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
31,Nebraska,1,Adams County,1985,0.8,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.8,1.31,2.11,0.74,0.00,0.74,0.00,-
31,Nebraska,1,Adams County,1990,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.24,1.74,0.47,0.00,0.47,0.00,70
31,Nebraska,1,Adams County,1995,1.34,0.0,1.34,0.0,0.0,0.0,1.34,0.0,1.34,0.59,1.93,0.80,0.00,0.80,0.00,67
31,Nebraska,1,Adams County,2000,0.99,0.0,0.99,0.0,0.0,0.0,0.99,0.0,0.99,-,-,-,-,-,-,-
31,Nebraska,1,Adams County,2005,1.31,0.0,1.31,0.0,0.0,0.0,1.31,0.0,1.31,-,-,-,-,-,-,-
31,Nebraska,1,Adams County,2010,2.45,0.0,2.45,0.0,0.0,0.0,2.45,0.0,2.45,-,-,-,-,-,-,-
31,Nebraska,1,Adams County,2015,1.19,0.0,1.19,0.0,0.0,0.0,1.19,0.0,1.19,-,-,-,-,-,-,-
31,Nebraska,3,Antelope County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.00,0.00,0.00,0.00,-
31,Nebraska,3,Antelope County,1990,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.11,0.02,0.13,0.10,0.00,0.10,0.00,10
31,Nebraska,3,Antelope County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.06,0.00,0.06,0.00,10
31,Nebraska,3,Antelope County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
31,Nebraska,3,Antelope County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
31,Nebraska,3,Antelope County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
31,Nebraska,3,Antelope County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
31,Nebraska,5,Arthur County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
31,Nebraska,5,Arthur County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,1
31,Nebraska,5,Arthur County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
31,Nebraska,5,Arthur County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
31,Nebraska,5,Arthur County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
