state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
33,New Hampshire,1,Belknap County,1985,0.55,0.0,0.55,0.93,0.0,0.93,1.48,0.0,1.48,0.07,1.55,0.31,0.00,0.31,0.00,-
33,New Hampshire,1,Belknap County,1990,0.01,0.0,0.01,0.37,0.0,0.37,0.38,0.0,0.38,0.65,1.03,0.10,0.00,0.10,0.00,3
33,New Hampshire,1,Belknap County,1995,0.05,0.0,0.05,0.39,0.0,0.39,0.44,0.0,0.44,0.33,0.77,0.08,0.00,0.08,0.00,133
33,New Hampshire,1,Belknap County,2000,0.08,0.0,0.08,0.46,0.0,0.46,0.54,0.0,0.54,-,-,-,-,-,-,-
33,New Hampshire,1,Belknap County,2005,0.1,0.0,0.1,0.4,0.0,0.4,0.5,0.0,0.5,-,-,-,-,-,-,-
33,New Hampshire,1,Belknap County,2010,0.55,0.0,0.55,0.15,0.0,0.15,0.7,0.0,0.7,-,-,-,-,-,-,-
33,New Hampshire,1,Belknap County,2015,0.06,0.0,0.06,0.24,0.0,0.24,0.3,0.0,0.3,-,-,-,-,-,-,-
33,New Hampshire,3,Carroll County,1985,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.0,0.18,1.19,1.37,0.27,0.00,0.27,0.00,-
33,New Hampshire,3,Carroll County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.03,0.00,0.03,0.00,0
33,New Hampshire,3,Carroll County,1995,0.09,0.0,0.09,0.04,0.0,0.04,0.13,0.0,0.13,0.06,0.19,0.02,0.00,0.02,0.00,84
33,New Hampshire,3,Carroll County,2000,0.11,0.0,0.11,0.02,0.0,0.02,0.13,0.0,0.13,-,-,-,-,-,-,-
33,New Hampshire,3,Carroll County,2005,0.14,0.0,0.14,0.01,0.0,0.01,0.15,0.0,0.15,-,-,-,-,-,-,-
33,New Hampshire,3,Carroll County,2010,0.35,0.0,0.35,0.0,0.0,0.0,0.35,0.0,0.35,-,-,-,-,-,-,-
33,New Hampshire,3,Carroll County,2015,0.15,0.0,0.15,0.02,0.0,0.02,0.17,0.0,0.17,-,-,-,-,-,-,-
33,New Hampshire,5,Cheshire County,1985,0.01,0.0,0.01,3.07,0.0,3.07,3.08,0.0,3.08,1.04,4.12,0.82,0.00,0.82,0.00,-
33,New Hampshire,5,Cheshire County,1990,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.14,0.68,0.82,0.08,0.00,0.08,0.00,2
33,New Hampshire,5,Cheshire County,1995,0.18,0.0,0.18,0.24,0.0,0.24,0.42,0.0,0.42,0.43,0.85,0.08,0.00,0.08,0.00,183
33,New Hampshire,5,Cheshire County,2000,0.2,0.0,0.2,0.23,0.0,0.23,0.43,0.0,0.43,-,-,-,-,-,-,-
33,New Hampshire,5,Cheshire County,2005,0.3,0.0,0.3,0.13,0.0,0.13,0.43,0.0,0.43,-,-,-,-,-,-,-
33,New Hampshire,5,Cheshire County,2010,0.34,0.0,0.34,0.18,0.0,0.18,0.52,0.0,0.52,-,-,-,-,-,-,-
33,New Hampshire,5,Cheshire County,2015,0.27,0.0,0.27,0.14,0.0,0.14,0.41,0.0,0.41,-,-,-,-,-,-,-
33,New Hampshire,7,Coos County,1985,0.15,0.0,0.15,57.72,0.0,57.72,57.87,0.0,57.87,2.78,60.65,12.13,0.00,12.13,0.00,-
33,New Hampshire,7,Coos County,1990,0.0,0.0,0.0,34.01,0.0,34.01,34.01,0.0,34.01,1.25,35.26,3.53,0.00,3.53,0.00,2
33,New Hampshire,7,Coos County,1995,0.08,0.0,0.08,34.38,0.0,34.38,34.46,0.0,34.46,1.11,35.57,3.56,0.00,3.56,0.00,107
33,New Hampshire,7,Coos County,2000,0.04,0.0,0.04,35.01,0.0,35.01,35.05,0.0,35.05,-,-,-,-,-,-,-
33,New Hampshire,7,Coos County,2005,0.06,0.0,0.06,30.7,0.0,30.7,30.76,0.0,30.76,-,-,-,-,-,-,-
33,New Hampshire,7,Coos County,2010,0.26,0.0,0.26,5.64,0.0,5.64,5.9,0.0,5.9,-,-,-,-,-,-,-
33,New Hampshire,7,Coos County,2015,0.06,0.0,0.06,4.05,0.0,4.05,4.11,0.0,4.11,-,-,-,-,-,-,-
33,New Hampshire,9,Grafton County,1985,2.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,3.0,3.83,6.83,1.37,0.00,1.37,0.00,-
