state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
34,New Jersey,1,Atlantic County,1985,0.77,0.0,0.77,0.0,11.04,11.04,0.77,11.04,11.81,0.99,12.80,0.13,0.22,0.35,0.00,-
34,New Jersey,1,Atlantic County,1990,0.71,0.0,0.71,0.0,14.02,14.02,0.71,14.02,14.73,1.09,15.82,0.14,0.28,0.42,0.00,5
34,New Jersey,1,Atlantic County,1995,0.4,0.0,0.4,0.54,0.0,0.54,0.94,0.0,0.94,0.23,1.17,0.09,0.00,0.09,0.00,10
34,New Jersey,1,Atlantic County,2000,1.36,0.0,1.36,0.0,0.0,0.0,1.36,0.0,1.36,-,-,-,-,-,-,-
34,New Jersey,1,Atlantic County,2005,1.33,0.0,1.33,0.12,0.0,0.12,1.45,0.0,1.45,-,-,-,-,-,0.00,-
34,New Jersey,1,Atlantic County,2010,2.19,0.0,2.19,0.12,0.0,0.12,2.31,0.0,2.31,-,-,-,-,-,-,-
34,New Jersey,1,Atlantic County,2015,2.26,0.0,2.26,0.46,0.0,0.46,2.72,0.0,2.72,-,-,-,-,-,-,-
34,New Jersey,3,Bergen County,1985,2.71,0.0,2.71,2.14,161.52,163.66,4.85,161.52,166.37,40.07,206.44,3.21,3.23,6.44,0.00,-
34,New Jersey,3,Bergen County,1990,1.51,0.0,1.51,2.11,205.13,207.24,3.62,205.13,208.75,39.29,248.04,3.43,4.10,7.53,0.00,12
34,New Jersey,3,Bergen County,1995,6.29,0.0,6.29,9.01,0.0,9.01,15.3,0.0,15.3,15.41,30.71,1.24,0.00,1.24,0.00,38
34,New Jersey,3,Bergen County,2000,2.23,0.0,2.23,14.82,0.0,14.82,17.05,0.0,17.05,-,-,-,-,-,-,-
34,New Jersey,3,Bergen County,2005,1.99,0.0,1.99,0.83,0.0,0.83,2.82,0.0,2.82,-,-,-,-,-,0.00,-
34,New Jersey,3,Bergen County,2010,1.68,0.0,1.68,2.23,0.0,2.23,3.91,0.0,3.91,-,-,-,-,-,-,-
34,New Jersey,3,Bergen County,2015,0.71,0.0,0.71,2.88,0.0,2.88,3.59,0.0,3.59,-,-,-,-,-,-,-
34,New Jersey,5,Burlington County,1985,4.63,0.0,4.63,0.0,0.0,0.0,4.63,0.0,4.63,7.88,12.51,0.94,0.00,0.94,0.00,-
34,New Jersey,5,Burlington County,1990,5.6,0.0,5.6,0.69,0.0,0.69,6.29,0.0,6.29,8.14,14.43,1.15,0.00,1.15,0.00,11
34,New Jersey,5,Burlington County,1995,4.04,0.0,4.04,0.0,0.0,0.0,4.04,0.0,4.04,1.47,5.51,0.34,0.00,0.34,0.00,15
34,New Jersey,5,Burlington County,2000,5.08,0.0,5.08,0.0,0.0,0.0,5.08,0.0,5.08,-,-,-,-,-,-,-
34,New Jersey,5,Burlington County,2005,4.29,0.0,4.29,0.0,0.0,0.0,4.29,0.0,4.29,-,-,-,-,-,0.00,-
34,New Jersey,5,Burlington County,2010,1.04,0.0,1.04,0.05,0.0,0.05,1.09,0.0,1.09,-,-,-,-,-,-,-
34,New Jersey,5,Burlington County,2015,0.81,0.0,0.81,0.08,0.0,0.08,0.89,0.0,0.89,-,-,-,-,-,-,-
34,New Jersey,7,Camden County,1985,0.99,0.0,0.99,2.13,164.56,166.69,3.12,164.56,167.68,22.13,189.81,1.89,3.29,5.18,0.00,-
34,New Jersey,7,Camden County,1990,0.33,0.0,0.33,5.62,208.99,214.61,5.95,208.99,214.94,22.82,237.76,2.30,4.18,6.48,0.00,11
34,New Jersey,7,Camden County,1995,0.14,0.0,0.14,0.13,0.0,0.13,0.27,0.0,0.27,1.04,1.31,0.04,0.00,0.04,0.00,17
34,New Jersey,7,Camden County,2000,0.2,0.0,0.2,0.33,0.0,0.33,0.53,0.0,0.53,-,-,-,-,-,-,-
34,New Jersey,7,Camden County,2005,0.25,0.0,0.25,0.39,0.0,0.39,0.64,0.0,0.64,-,-,-,-,-,0.00,-
34,New Jersey,7,Camden County,2010,0.36,0.0,0.36,3.24,0.0,3.24,3.6,0.0,3.6,-,-,-,-,-,-,-
34,New Jersey,7,Camden County,2015,0.34,0.0,0.34,2.09,0.0,2.09,2.43,0.0,2.43,-,-,-,-,-,-,-
34,New Jersey,9,Cape May County,1985,0.21,0.0,0.21,0.0,3.44,3.44,0.21,3.44,3.65,0.35,4.00,0.04,0.07,0.11,0.00,-
34,New Jersey,9,Cape May County,1990,0.26,0.0,0.26,0.0,4.37,4.37,0.26,4.37,4.63,0.38,5.01,0.05,0.09,0.14,0.00,3
34,New Jersey,9,Cape May County,1995,0.17,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.17,0.10,0.27,0.02,0.00,0.02,0.00,3
34,New Jersey,9,Cape May County,2000,0.21,0.0,0.21,0.0,0.0,0.0,0.21,0.0,0.21,-,-,-,-,-,-,-
34,New Jersey,9,Cape May County,2005,0.19,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.19,-,-,-,-,-,0.00,-
34,New Jersey,9,Cape May County,2010,0.82,0.0,0.82,0.61,0.0,0.61,1.43,0.0,1.43,-,-,-,-,-,-,-
34,New Jersey,9,Cape May County,2015,0.45,0.0,0.45,0.57,0.0,0.57,1.02,0.0,1.02,-,-,-,-,-,-,-
34,New Jersey,11,Cumberland County,1985,6.44,0.0,6.44,3.53,45.2,48.73,9.97,45.2,55.17,0.19,55.36,0.82,0.90,1.72,0.00,-
34,New Jersey,11,Cumberland County,1990,3.0,0.0,3.0,0.0,57.4,57.4,3.0,57.4,60.4,0.20,60.60,0.26,1.15,1.41,0.00,4
34,New Jersey,11,Cumberland County,1995,3.72,0.0,3.72,0.0,0.0,0.0,3.72,0.0,3.72,0.24,3.96,0.32,0.00,0.32,0.00,12
34,New Jersey,11,Cumberland County,2000,13.8,0.0,13.8,0.0,0.0,0.0,13.8,0.0,13.8,-,-,-,-,-,-,-
34,New Jersey,11,Cumberland County,2005,5.25,0.0,5.25,0.0,0.0,0.0,5.25,0.0,5.25,-,-,-,-,-,0.00,-
34,New Jersey,11,Cumberland County,2010,5.38,0.0,5.38,2.6,0.0,2.6,7.98,0.0,7.98,-,-,-,-,-,-,-
