state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
32,Nevada,1,Churchill County,1985,0.24,0.0,0.24,0.0,0.0,0.0,0.24,0.0,0.24,0.03,0.27,0.06,0.00,0.06,0.00,-
32,Nevada,1,Churchill County,1990,0.24,0.0,0.24,0.0,0.0,0.0,0.24,0.0,0.24,0.02,0.26,0.05,0.00,0.05,0.00,62
32,Nevada,1,Churchill County,1995,0.24,0.0,0.24,0.0,0.0,0.0,0.24,0.0,0.24,0.03,0.27,0.09,0.00,0.09,0.00,62
32,Nevada,1,Churchill County,2000,0.32,0.0,0.32,0.0,0.0,0.0,0.32,0.0,0.32,-,-,-,-,-,-,-
32,Nevada,1,Churchill County,2005,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,-,-
32,Nevada,1,Churchill County,2010,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,0.00,-
32,Nevada,1,Churchill County,2015,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.01,0.04,0.01,-,-,0.00,1
32,Nevada,3,Clark County,1985,0.64,0.0,0.64,7.42,0.0,7.42,8.06,0.0,8.06,1.64,9.70,1.78,0.00,1.78,0.00,-
32,Nevada,3,Clark County,1990,7.42,0.0,7.42,0.5,0.0,0.5,7.92,0.0,7.92,1.77,9.69,1.91,0.00,1.91,0.00,1881
32,Nevada,3,Clark County,1995,1.5,0.0,1.5,5.51,0.0,5.51,7.01,0.0,7.01,1.09,8.10,2.39,0.00,2.39,0.00,1815
32,Nevada,3,Clark County,2000,2.41,0.0,2.41,5.0,0.0,5.0,7.41,0.0,7.41,-,-,-,-,-,-,-
32,Nevada,3,Clark County,2005,0.43,0.0,0.43,5.2,0.0,5.2,5.63,0.0,5.63,-,-,-,-,-,0.00,-
32,Nevada,3,Clark County,2010,0.45,0.0,0.45,4.53,0.0,4.53,4.98,0.0,4.98,-,-,-,-,-,0.00,-
32,Nevada,3,Clark County,2015,0.69,0.0,0.69,4.69,0.0,4.69,5.38,0.0,5.38,9.94,15.32,4.60,-,-,0.00,3
32,Nevada,5,Douglas County,1985,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.15,0.05,0.20,0.04,0.00,0.04,0.00,-
32,Nevada,5,Douglas County,1990,0.27,0.0,0.27,0.0,0.0,0.0,0.27,0.0,0.27,0.00,0.27,0.05,0.00,0.05,0.00,162
32,Nevada,5,Douglas County,1995,0.27,0.0,0.27,0.0,0.0,0.0,0.27,0.0,0.27,0.00,0.27,0.08,0.00,0.08,0.00,60
32,Nevada,5,Douglas County,2000,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.4,-,-,-,-,-,-,-
32,Nevada,5,Douglas County,2005,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,-,-,-,-,-,-,-
32,Nevada,5,Douglas County,2010,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,0.00,-
32,Nevada,5,Douglas County,2015,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.05,0.07,0.02,-,-,0.00,1
32,Nevada,7,Elko County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.02,0.00,0.02,0.00,-
32,Nevada,7,Elko County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,96
32,Nevada,7,Elko County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
32,Nevada,7,Elko County,2000,0.08,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.08,-,-,-,-,-,-,-
32,Nevada,7,Elko County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
32,Nevada,7,Elko County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
32,Nevada,7,Elko County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,-,-,0.00,0
32,Nevada,9,Esmeralda County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
32,Nevada,9,Esmeralda County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,2
32,Nevada,9,Esmeralda County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
32,Nevada,9,Esmeralda County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
