state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
36,New York,1,Albany County,1985,1.21,0.0,1.21,12.9,0.0,12.9,14.11,0.0,14.11,23.19,37.30,3.73,0.00,3.73,0.00,-
36,New York,1,Albany County,1990,0.22,0.0,0.22,2.33,0.0,2.33,2.55,0.0,2.55,4.18,6.73,0.67,0.00,0.67,0.00,70
36,New York,1,Albany County,1995,0.3,0.0,0.3,3.23,0.0,3.23,3.53,0.0,3.53,7.10,10.63,1.06,0.00,1.06,0.00,90
36,New York,1,Albany County,2000,0.92,0.0,0.92,3.51,0.0,3.51,4.43,0.0,4.43,-,-,-,-,-,-,-
36,New York,1,Albany County,2005,0.98,0.0,0.98,3.74,0.0,3.74,4.72,0.0,4.72,-,-,-,-,-,-,-
36,New York,1,Albany County,2010,1.12,0.0,1.12,1.93,0.0,1.93,3.05,0.0,3.05,-,-,-,-,-,-,2
36,New York,1,Albany County,2015,0.26,0.0,0.26,4.59,0.0,4.59,4.85,0.0,4.85,-,-,-,-,-,-,4
36,New York,3,Allegany County,1985,2.04,0.0,2.04,0.39,0.0,0.39,2.43,0.0,2.43,1.26,3.69,0.37,0.00,0.37,0.00,-
36,New York,3,Allegany County,1990,1.43,0.0,1.43,0.27,0.0,0.27,1.7,0.0,1.7,0.23,1.93,0.19,0.00,0.19,0.00,23
36,New York,3,Allegany County,1995,1.29,0.0,1.29,0.24,0.0,0.24,1.53,0.0,1.53,0.93,2.46,0.25,0.00,0.25,0.00,13
36,New York,3,Allegany County,2000,0.84,0.0,0.84,0.19,0.0,0.19,1.03,0.0,1.03,-,-,-,-,-,-,-
36,New York,3,Allegany County,2005,0.73,0.0,0.73,0.16,0.0,0.16,0.89,0.0,0.89,-,-,-,-,-,-,-
36,New York,3,Allegany County,2010,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,-,-,-,-,-,-,2
36,New York,3,Allegany County,2015,0.56,0.0,0.56,0.0,0.0,0.0,0.56,0.0,0.56,-,-,-,-,-,-,2
36,New York,5,Bronx County,1985,0.0,0.0,0.0,46.72,0.0,46.72,46.72,0.0,46.72,152.03,198.75,19.88,0.00,19.88,0.00,-
36,New York,5,Bronx County,1990,0.0,0.0,0.0,1.9,0.0,1.9,1.9,0.0,1.9,2.26,4.16,0.42,0.00,0.42,0.00,179
36,New York,5,Bronx County,1995,3.42,0.0,3.42,0.0,0.0,0.0,3.42,0.0,3.42,0.53,3.95,0.40,0.00,0.40,0.00,137
36,New York,5,Bronx County,2000,3.48,0.0,3.48,0.0,0.0,0.0,3.48,0.0,3.48,-,-,-,-,-,-,-
36,New York,5,Bronx County,2005,3.96,0.0,3.96,0.0,0.0,0.0,3.96,0.0,3.96,-,-,-,-,-,-,-
36,New York,5,Bronx County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0
36,New York,5,Bronx County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0
36,New York,7,Broome County,1985,2.54,0.0,2.54,1.56,0.0,1.56,4.1,0.0,4.1,9.98,14.08,1.41,0.00,1.41,0.00,-
36,New York,7,Broome County,1990,0.86,0.0,0.86,0.53,0.0,0.53,1.39,0.0,1.39,3.38,4.77,0.48,0.00,0.48,0.00,44
36,New York,7,Broome County,1995,2.21,0.0,2.21,1.36,0.0,1.36,3.57,0.0,3.57,7.14,10.71,1.07,0.00,1.07,0.00,77
36,New York,7,Broome County,2000,4.22,0.0,4.22,1.05,0.0,1.05,5.27,0.0,5.27,-,-,-,-,-,-,-
36,New York,7,Broome County,2005,4.45,0.0,4.45,1.11,0.0,1.11,5.56,0.0,5.56,-,-,-,-,-,-,-
36,New York,7,Broome County,2010,1.02,0.0,1.02,0.0,0.0,0.0,1.02,0.0,1.02,-,-,-,-,-,-,2
36,New York,7,Broome County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0
36,New York,9,Cattaraugus County,1985,2.77,0.0,2.77,1.58,0.0,1.58,4.35,0.0,4.35,3.55,7.90,0.79,0.00,0.79,0.00,-
36,New York,9,Cattaraugus County,1990,0.73,0.0,0.73,0.41,0.0,0.41,1.14,0.0,1.14,0.93,2.07,0.21,0.00,0.21,0.00,37
36,New York,9,Cattaraugus County,1995,1.3,0.0,1.3,0.73,0.0,0.73,2.03,0.0,2.03,0.89,2.92,0.29,0.00,0.29,0.00,42
36,New York,9,Cattaraugus County,2000,2.68,0.0,2.68,0.41,0.0,0.41,3.09,0.0,3.09,-,-,-,-,-,-,-
36,New York,9,Cattaraugus County,2005,1.85,0.0,1.85,0.28,0.0,0.28,2.13,0.0,2.13,-,-,-,-,-,-,-
36,New York,9,Cattaraugus County,2010,0.26,0.0,0.26,0.0,0.0,0.0,0.26,0.0,0.26,-,-,-,-,-,-,2
36,New York,9,Cattaraugus County,2015,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.3,-,-,-,-,-,-,1
36,New York,11,Cayuga County,1985,0.17,0.0,0.17,0.69,0.0,0.69,0.86,0.0,0.86,2.97,3.83,0.38,0.00,0.38,0.00,-
36,New York,11,Cayuga County,1990,0.09,0.0,0.09,0.35,0.0,0.35,0.44,0.0,0.44,4.56,5.00,0.50,0.00,0.50,0.00,5
36,New York,11,Cayuga County,1995,0.23,0.0,0.23,0.88,0.0,0.88,1.11,0.0,1.11,4.62,5.73,0.57,0.00,0.57,0.00,31
36,New York,11,Cayuga County,2000,0.2,0.0,0.2,1.31,0.0,1.31,1.51,0.0,1.51,-,-,-,-,-,-,-
36,New York,11,Cayuga County,2005,0.19,0.0,0.19,1.25,0.0,1.25,1.44,0.0,1.44,-,-,-,-,-,-,-
36,New York,11,Cayuga County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0
36,New York,11,Cayuga County,2015,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,1
36,New York,13,Chautauqua County,1985,3.26,0.0,3.26,2.73,0.0,2.73,5.99,0.0,5.99,5.33,11.32,1.13,0.00,1.13,0.00,-
36,New York,13,Chautauqua County,1990,2.26,0.0,2.26,1.89,0.0,1.89,4.15,0.0,4.15,2.93,7.08,0.71,0.00,0.71,0.00,103
36,New York,13,Chautauqua County,1995,2.6,0.0,2.6,2.17,0.0,2.17,4.77,0.0,4.77,2.98,7.75,0.78,0.00,0.78,0.00,91
36,New York,13,Chautauqua County,2000,2.2,0.0,2.2,2.66,0.0,2.66,4.86,0.0,4.86,-,-,-,-,-,-,-
36,New York,13,Chautauqua County,2005,2.35,0.0,2.35,2.85,0.0,2.85,5.2,0.0,5.2,-,-,-,-,-,-,-
36,New York,13,Chautauqua County,2010,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,-,-,-,-,-,-,2
36,New York,13,Chautauqua County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0
36,New York,15,Chemung County,1985,1.9,0.0,1.9,0.62,0.0,0.62,2.52,0.0,2.52,1.72,4.24,0.42,0.00,0.42,0.00,-
36,New York,15,Chemung County,1990,0.77,0.0,0.77,0.25,0.0,0.25,1.02,0.0,1.02,1.10,2.12,0.21,0.00,0.21,0.00,39
36,New York,15,Chemung County,1995,1.66,0.0,1.66,0.54,0.0,0.54,2.2,0.0,2.2,2.26,4.46,0.45,0.00,0.45,0.00,51
36,New York,15,Chemung County,2000,2.34,0.0,2.34,1.19,0.0,1.19,3.53,0.0,3.53,-,-,-,-,-,-,-
36,New York,15,Chemung County,2005,1.18,0.0,1.18,0.6,0.0,0.6,1.78,0.0,1.78,-,-,-,-,-,-,-
36,New York,15,Chemung County,2010,0.6,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.6,-,-,-,-,-,-,3
36,New York,15,Chemung County,2015,0.58,0.0,0.58,0.0,0.0,0.0,0.58,0.0,0.58,-,-,-,-,-,-,3
36,New York,17,Chenango County,1985,6.18,0.0,6.18,1.37,0.0,1.37,7.55,0.0,7.55,1.29,8.84,0.88,0.00,0.88,0.00,-
36,New York,17,Chenango County,1990,1.99,0.0,1.99,0.44,0.0,0.44,2.43,0.0,2.43,0.59,3.02,0.30,0.00,0.30,0.00,31
36,New York,17,Chenango County,1995,1.47,0.0,1.47,0.33,0.0,0.33,1.8,0.0,1.8,0.45,2.25,0.22,0.00,0.22,0.00,29
36,New York,17,Chenango County,2000,1.58,0.0,1.58,0.04,0.0,0.04,1.62,0.0,1.62,-,-,-,-,-,-,-
36,New York,17,Chenango County,2005,1.39,0.0,1.39,0.04,0.0,0.04,1.43,0.0,1.43,-,-,-,-,-,-,-
36,New York,17,Chenango County,2010,1.16,0.0,1.16,0.0,0.0,0.0,1.16,0.0,1.16,-,-,-,-,-,-,4
36,New York,17,Chenango County,2015,1.07,0.0,1.07,0.0,0.0,0.0,1.07,0.0,1.07,-,-,-,-,-,-,7
36,New York,19,Clinton County,1985,0.88,0.0,0.88,14.57,0.0,14.57,15.45,0.0,15.45,3.52,18.97,1.90,0.00,1.90,0.00,-
36,New York,19,Clinton County,1990,0.12,0.0,0.12,1.91,0.0,1.91,2.03,0.0,2.03,3.45,5.48,0.55,0.00,0.55,0.00,15
36,New York,19,Clinton County,1995,0.14,0.0,0.14,2.26,0.0,2.26,2.4,0.0,2.4,2.85,5.25,0.52,0.00,0.52,0.00,24
36,New York,19,Clinton County,2000,0.35,0.0,0.35,2.85,0.0,2.85,3.2,0.0,3.2,-,-,-,-,-,-,-
36,New York,19,Clinton County,2005,0.35,0.0,0.35,2.86,0.0,2.86,3.21,0.0,3.21,-,-,-,-,-,-,-
36,New York,19,Clinton County,2010,0.0,0.0,0.0,1.15,0.0,1.15,1.15,0.0,1.15,-,-,-,-,-,-,1
36,New York,19,Clinton County,2015,0.0,0.0,0.0,0.9,0.0,0.9,0.9,0.0,0.9,-,-,-,-,-,-,2
36,New York,21,Columbia County,1985,3.21,0.0,3.21,0.05,0.0,0.05,3.26,0.0,3.26,1.34,4.60,0.46,0.00,0.46,0.00,-
36,New York,21,Columbia County,1990,1.23,0.0,1.23,0.02,0.0,0.02,1.25,0.0,1.25,0.36,1.61,0.16,0.00,0.16,0.00,28
36,New York,21,Columbia County,1995,0.55,0.0,0.55,0.01,0.0,0.01,0.56,0.0,0.56,0.49,1.05,0.11,0.00,0.11,0.00,18
36,New York,21,Columbia County,2000,0.47,0.0,0.47,0.39,0.0,0.39,0.86,0.0,0.86,-,-,-,-,-,-,-
36,New York,21,Columbia County,2005,0.68,0.0,0.68,0.56,0.0,0.56,1.24,0.0,1.24,-,-,-,-,-,-,-
36,New York,21,Columbia County,2010,0.9,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.9,-,-,-,-,-,-,2
36,New York,21,Columbia County,2015,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.0,0.28,-,-,-,-,-,-,1
