state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
39,Ohio,1,Adams County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.40,0.13,0.00,0.13,0.00,-
39,Ohio,1,Adams County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.14,0.00,0.14,0.00,0
39,Ohio,1,Adams County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.16,0.00,0.16,0.00,0
39,Ohio,1,Adams County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
39,Ohio,1,Adams County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
39,Ohio,1,Adams County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
39,Ohio,1,Adams County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
39,Ohio,3,Allen County,1985,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,3.55,3.57,1.17,0.00,1.17,0.00,-
39,Ohio,3,Allen County,1990,0.27,0.0,0.27,4.18,0.0,4.18,4.45,0.0,4.45,3.68,8.13,2.44,0.00,2.44,0.00,68
39,Ohio,3,Allen County,1995,5.43,0.0,5.43,0.0,0.0,0.0,5.43,0.0,5.43,7.79,13.22,3.93,0.00,3.93,0.00,57
39,Ohio,3,Allen County,2000,5.1,0.0,5.1,0.0,0.0,0.0,5.1,0.0,5.1,-,-,-,-,-,-,-
39,Ohio,3,Allen County,2005,0.95,0.0,0.95,0.0,0.0,0.0,0.95,0.0,0.95,-,-,-,-,-,-,-
39,Ohio,3,Allen County,2010,2.63,0.0,2.63,0.0,0.0,0.0,2.63,0.0,2.63,-,-,-,-,-,0.00,-
39,Ohio,3,Allen County,2015,4.35,0.0,4.35,0.0,0.0,0.0,4.35,0.0,4.35,-,-,-,-,-,-,-
39,Ohio,5,Ashland County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.80,0.26,0.00,0.26,0.00,-
39,Ohio,5,Ashland County,1990,1.02,0.0,1.02,0.23,0.0,0.23,1.25,0.0,1.25,0.04,1.29,0.39,0.00,0.39,0.00,3
39,Ohio,5,Ashland County,1995,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,0.97,1.11,0.32,0.00,0.32,0.00,62
39,Ohio,5,Ashland County,2000,0.18,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.18,-,-,-,-,-,-,-
39,Ohio,5,Ashland County,2005,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,-,-,-,-,-,-,-
39,Ohio,5,Ashland County,2010,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,-,-,-,-,-,0.00,-
39,Ohio,5,Ashland County,2015,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.15,-,-,-,-,-,-,-
39,Ohio,7,Ashtabula County,1985,0.0,0.0,0.0,0.73,0.0,0.73,0.73,0.0,0.73,2.23,2.96,0.82,0.00,0.82,0.00,-
39,Ohio,7,Ashtabula County,1990,0.14,0.0,0.14,3.4,0.0,3.4,3.54,0.0,3.54,2.89,6.43,1.93,0.00,1.93,0.00,66
39,Ohio,7,Ashtabula County,1995,0.0,0.0,0.0,11.74,0.0,11.74,11.74,0.0,11.74,2.23,13.97,12.41,0.00,12.41,0.00,121
39,Ohio,7,Ashtabula County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
39,Ohio,7,Ashtabula County,2005,0.0,0.0,0.0,9.0,0.0,9.0,9.0,0.0,9.0,-,-,-,-,-,-,-
39,Ohio,7,Ashtabula County,2010,0.0,0.0,0.0,20.55,0.0,20.55,20.55,0.0,20.55,-,-,-,-,-,0.00,-
39,Ohio,7,Ashtabula County,2015,0.0,0.0,0.0,20.55,0.0,20.55,20.55,0.0,20.55,-,-,-,-,-,-,-
39,Ohio,9,Athens County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,1.22,0.40,0.00,0.40,0.00,-
39,Ohio,9,Athens County,1990,0.09,0.0,0.09,0.63,0.0,0.63,0.72,0.0,0.72,1.07,1.79,0.54,0.00,0.54,0.00,43
39,Ohio,9,Athens County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,1.55,0.46,0.00,0.46,0.00,0
39,Ohio,9,Athens County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
39,Ohio,9,Athens County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
39,Ohio,9,Athens County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
39,Ohio,9,Athens County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
39,Ohio,11,Auglaize County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.92,0.30,0.00,0.30,0.00,-
39,Ohio,11,Auglaize County,1990,0.0,0.0,0.0,1.84,0.0,1.84,1.84,0.0,1.84,0.91,2.75,0.82,0.00,0.82,0.00,31
39,Ohio,11,Auglaize County,1995,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,1.17,1.24,0.36,0.00,0.36,0.00,61
39,Ohio,11,Auglaize County,2000,1.37,0.0,1.37,0.0,0.0,0.0,1.37,0.0,1.37,-,-,-,-,-,-,-
39,Ohio,11,Auglaize County,2005,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.11,-,-,-,-,-,-,-
39,Ohio,11,Auglaize County,2010,0.13,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.13,-,-,-,-,-,0.00,-
39,Ohio,11,Auglaize County,2015,0.16,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.16,-,-,-,-,-,-,-
39,Ohio,13,Belmont County,1985,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.0,0.26,2.44,2.70,0.82,0.00,0.82,0.00,-
39,Ohio,13,Belmont County,1990,0.22,0.0,0.22,0.06,0.0,0.06,0.28,0.0,0.28,1.62,1.90,0.57,0.00,0.57,0.00,46
39,Ohio,13,Belmont County,1995,0.29,0.0,0.29,0.54,0.0,0.54,0.83,0.0,0.83,2.14,2.97,0.85,0.00,0.85,0.00,7
39,Ohio,13,Belmont County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
39,Ohio,13,Belmont County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
39,Ohio,13,Belmont County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
