state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
40,Oklahoma,1,Adair County,1985,0.0,0.0,0.0,1.67,0.0,1.67,1.67,0.0,1.67,0.83,2.50,0.18,0.00,0.18,0.00,-
40,Oklahoma,1,Adair County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.00,0.00,0.00,0.00,0
40,Oklahoma,1,Adair County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.04,0.00,0.04,0.00,0
40,Oklahoma,1,Adair County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
40,Oklahoma,1,Adair County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
40,Oklahoma,1,Adair County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
40,Oklahoma,1,Adair County,2015,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,-,-,-,-,-,-,-
40,Oklahoma,3,Alfalfa County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.40,0.03,0.00,0.03,0.00,-
40,Oklahoma,3,Alfalfa County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
40,Oklahoma,3,Alfalfa County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,1
