state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
41,Oregon,1,Baker County,1985,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.12,0.01,0.00,0.01,0.00,-
41,Oregon,1,Baker County,1990,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,0.37,0.39,0.03,0.00,0.03,0.00,38
41,Oregon,1,Baker County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.40,0.00,0.00,0.00,0.00,0
41,Oregon,1,Baker County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
41,Oregon,1,Baker County,2005,1.77,0.0,1.77,0.0,0.0,0.0,1.77,0.0,1.77,-,-,-,-,-,-,-
41,Oregon,1,Baker County,2010,1.77,0.0,1.77,0.41,0.0,0.41,2.18,0.0,2.18,-,-,-,-,-,-,-
41,Oregon,1,Baker County,2015,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,-,-,-,-,-,-,-
41,Oregon,3,Benton County,1985,0.0,0.0,0.0,0.84,0.0,0.84,0.84,0.0,0.84,0.36,1.20,0.10,0.00,0.10,0.00,-
41,Oregon,3,Benton County,1990,0.12,0.0,0.12,1.07,0.0,1.07,1.19,0.0,1.19,1.78,2.97,0.40,0.00,0.40,0.00,131
41,Oregon,3,Benton County,1995,0.0,0.0,0.0,0.39,0.0,0.39,0.39,0.0,0.39,1.90,2.29,0.02,0.00,0.02,0.00,1
41,Oregon,3,Benton County,2000,0.0,0.0,0.0,0.69,0.0,0.69,0.69,0.0,0.69,-,-,-,-,-,-,-
41,Oregon,3,Benton County,2005,0.0,0.0,0.0,0.7,0.0,0.7,0.7,0.0,0.7,-,-,-,-,-,-,-
