state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
42,Pennsylvania,1,Adams County,1985,1.03,0.0,1.03,0.07,0.0,0.07,1.1,0.0,1.1,0.27,1.37,0.13,0.00,0.13,0.00,-
42,Pennsylvania,1,Adams County,1990,1.39,0.0,1.39,0.16,0.0,0.16,1.55,0.0,1.55,0.28,1.83,0.23,0.00,0.23,0.00,48
42,Pennsylvania,1,Adams County,1995,0.93,0.0,0.93,0.14,0.0,0.14,1.07,0.0,1.07,0.36,1.43,0.26,0.00,0.26,0.45,58
42,Pennsylvania,1,Adams County,2000,1.14,0.0,1.14,0.08,0.0,0.08,1.22,0.0,1.22,-,-,-,-,-,-,-
42,Pennsylvania,1,Adams County,2005,0.84,0.0,0.84,0.0,0.0,0.0,0.84,0.0,0.84,-,-,-,-,-,0.00,-
42,Pennsylvania,1,Adams County,2010,1.16,0.0,1.16,0.0,0.0,0.0,1.16,0.0,1.16,-,-,-,-,-,-,-
42,Pennsylvania,1,Adams County,2015,1.03,0.0,1.03,0.0,0.0,0.0,1.03,0.0,1.03,-,-,-,-,-,-,-
42,Pennsylvania,3,Allegheny County,1985,20.69,0.0,20.69,477.73,0.0,477.73,498.42,0.0,498.42,12.54,510.96,34.98,0.00,34.98,0.00,-
42,Pennsylvania,3,Allegheny County,1990,23.87,0.0,23.87,425.27,0.0,425.27,449.14,0.0,449.14,14.59,463.73,22.18,0.00,22.18,0.00,146
42,Pennsylvania,3,Allegheny County,1995,19.53,0.0,19.53,410.26,0.0,410.26,429.79,0.0,429.79,11.26,441.05,20.93,0.00,20.93,0.01,191
42,Pennsylvania,3,Allegheny County,2000,19.48,0.0,19.48,319.51,0.0,319.51,338.99,0.0,338.99,-,-,-,-,-,-,-
42,Pennsylvania,3,Allegheny County,2005,0.69,0.0,0.69,257.35,0.0,257.35,258.04,0.0,258.04,-,-,-,-,-,0.00,-
42,Pennsylvania,3,Allegheny County,2010,2.43,0.0,2.43,309.89,0.0,309.89,312.32,0.0,312.32,-,-,-,-,-,-,-
42,Pennsylvania,3,Allegheny County,2015,2.67,0.0,2.67,244.34,0.0,244.34,247.01,0.0,247.01,-,-,-,-,-,-,-
42,Pennsylvania,5,Armstrong County,1985,0.68,0.0,0.68,0.53,0.0,0.53,1.21,0.0,1.21,2.03,3.24,0.29,0.00,0.29,0.00,-
42,Pennsylvania,5,Armstrong County,1990,0.59,0.0,0.59,1.78,0.0,1.78,2.37,0.0,2.37,0.15,2.52,0.66,0.00,0.66,0.00,33
42,Pennsylvania,5,Armstrong County,1995,0.21,0.0,0.21,0.14,0.0,0.14,0.35,0.0,0.35,0.14,0.49,0.06,0.00,0.06,0.00,49
42,Pennsylvania,5,Armstrong County,2000,0.21,0.0,0.21,0.14,0.0,0.14,0.35,0.0,0.35,-,-,-,-,-,-,-
42,Pennsylvania,5,Armstrong County,2005,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,-,-,-,-,-,0.00,-
42,Pennsylvania,5,Armstrong County,2010,0.03,0.0,0.03,0.05,0.0,0.05,0.08,0.0,0.08,-,-,-,-,-,-,-
42,Pennsylvania,5,Armstrong County,2015,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,-,-,-,-,-,-,-
