state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
44,Rhode Island,1,Bristol County,1985,0.6,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.6,0.33,0.93,0.07,0.00,0.07,0.00,-
44,Rhode Island,1,Bristol County,1990,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.12,0.10,0.22,0.02,0.00,0.02,0.00,2
44,Rhode Island,1,Bristol County,1995,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.36,0.40,0.04,0.00,0.04,0.00,109
44,Rhode Island,1,Bristol County,2000,0.23,0.0,0.23,0.0,0.0,0.0,0.23,0.0,0.23,-,-,-,-,-,-,-
44,Rhode Island,1,Bristol County,2005,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
44,Rhode Island,1,Bristol County,2010,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.3,-,-,-,-,-,-,-
44,Rhode Island,1,Bristol County,2015,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,-,-,-,-,-,-,-
44,Rhode Island,3,Kent County,1985,1.04,0.0,1.04,7.0,0.0,7.0,8.04,0.0,8.04,1.70,9.74,0.68,0.00,0.68,0.00,-
44,Rhode Island,3,Kent County,1990,1.05,0.0,1.05,7.29,0.0,7.29,8.34,0.0,8.34,3.24,11.58,0.81,0.00,0.81,0.00,10
44,Rhode Island,3,Kent County,1995,0.36,0.0,0.36,0.0,0.0,0.0,0.36,0.0,0.36,1.47,1.83,0.18,0.00,0.18,0.00,109
44,Rhode Island,3,Kent County,2000,0.09,0.0,0.09,0.59,0.0,0.59,0.68,0.0,0.68,-,-,-,-,-,-,-
44,Rhode Island,3,Kent County,2005,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,-,-,-,-,-,-,-
44,Rhode Island,3,Kent County,2010,0.13,0.0,0.13,0.87,0.0,0.87,1.0,0.0,1.0,-,-,-,-,-,-,-
44,Rhode Island,3,Kent County,2015,0.22,0.0,0.22,0.0,0.0,0.0,0.22,0.0,0.22,-,-,-,-,-,-,-
44,Rhode Island,5,Newport County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.02,0.00,0.02,0.00,-
44,Rhode Island,5,Newport County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.00,0.00,0.00,0.00,0
44,Rhode Island,5,Newport County,1995,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.33,0.36,0.03,0.00,0.03,0.00,109
44,Rhode Island,5,Newport County,2000,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,-,-,-,-,-,-,-
44,Rhode Island,5,Newport County,2005,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,-,-,-,-,-,-,-
44,Rhode Island,5,Newport County,2010,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,-,-,-,-,-,-,-
44,Rhode Island,5,Newport County,2015,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.0,0.06,-,-,-,-,-,-,-
44,Rhode Island,7,Providence County,1985,1.22,0.0,1.22,3.56,0.0,3.56,4.78,0.0,4.78,17.00,21.78,1.52,0.00,1.52,0.00,-
44,Rhode Island,7,Providence County,1990,0.99,0.0,0.99,0.52,0.0,0.52,1.51,0.0,1.51,8.56,10.07,0.70,0.00,0.70,0.00,25
44,Rhode Island,7,Providence County,1995,0.41,0.0,0.41,0.0,0.0,0.0,0.41,0.0,0.41,9.07,9.48,0.95,0.00,0.95,0.00,109
44,Rhode Island,7,Providence County,2000,1.52,0.0,1.52,0.78,0.0,0.78,2.3,0.0,2.3,-,-,-,-,-,-,-
44,Rhode Island,7,Providence County,2005,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,-,-,-,-,-,-,-
44,Rhode Island,7,Providence County,2010,3.43,0.0,3.43,1.76,0.0,1.76,5.19,0.0,5.19,-,-,-,-,-,-,-
44,Rhode Island,7,Providence County,2015,0.04,0.0,0.04,1.09,0.0,1.09,1.13,0.0,1.13,-,-,-,-,-,-,-
44,Rhode Island,9,Washington County,1985,1.03,0.0,1.03,2.64,0.17,2.81,3.67,0.17,3.84,0.54,4.38,0.30,0.02,0.32,0.00,-
44,Rhode Island,9,Washington County,1990,0.38,0.0,0.38,1.29,0.0,1.29,1.67,0.0,1.67,0.51,2.18,0.15,0.00,0.15,0.00,10
44,Rhode Island,9,Washington County,1995,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.3,0.77,1.07,0.11,0.00,0.11,0.00,109
44,Rhode Island,9,Washington County,2000,0.21,0.0,0.21,0.72,0.0,0.72,0.93,0.0,0.93,-,-,-,-,-,-,-
44,Rhode Island,9,Washington County,2005,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,-,-,-,-,-,-,-
44,Rhode Island,9,Washington County,2010,0.21,0.0,0.21,0.72,0.0,0.72,0.93,0.0,0.93,-,-,-,-,-,-,-
44,Rhode Island,9,Washington County,2015,0.22,0.0,0.22,0.36,0.03,0.39,0.58,0.03,0.61,-,-,-,-,-,-,-
