state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
45,South Carolina,1,Abbeville County,1985,0.0,0.0,0.0,0.63,0.0,0.63,0.63,0.0,0.63,1.03,1.66,0.26,0.00,0.26,0.00,-
45,South Carolina,1,Abbeville County,1990,0.0,0.0,0.0,0.68,0.0,0.68,0.68,0.0,0.68,1.11,1.79,0.27,0.00,0.27,0.00,1
45,South Carolina,1,Abbeville County,1995,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.0,0.48,1.06,1.54,0.23,0.00,0.23,0.00,1
45,South Carolina,1,Abbeville County,2000,0.0,0.0,0.0,1.67,0.0,1.67,1.67,0.0,1.67,-,-,-,-,-,-,-
45,South Carolina,1,Abbeville County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
45,South Carolina,1,Abbeville County,2010,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,-,-,-,-,-,0.00,-
45,South Carolina,1,Abbeville County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
45,South Carolina,3,Aiken County,1985,11.33,0.0,11.33,779.45,0.0,779.45,790.78,0.0,790.78,1.18,791.96,123.55,0.00,123.55,0.00,-
45,South Carolina,3,Aiken County,1990,9.84,0.0,9.84,177.52,0.0,177.52,187.36,0.0,187.36,1.07,188.43,28.26,0.00,28.26,0.00,7
45,South Carolina,3,Aiken County,1995,9.4,0.0,9.4,109.22,0.0,109.22,118.62,0.0,118.62,1.73,120.35,18.05,0.00,18.05,0.00,7
45,South Carolina,3,Aiken County,2000,6.06,0.0,6.06,75.65,0.0,75.65,81.71,0.0,81.71,-,-,-,-,-,-,-
45,South Carolina,3,Aiken County,2005,3.62,0.0,3.62,57.08,0.0,57.08,60.7,0.0,60.7,-,-,-,-,-,0.00,-
45,South Carolina,3,Aiken County,2010,2.04,0.0,2.04,54.63,0.0,54.63,56.67,0.0,56.67,-,-,-,-,-,0.00,-
45,South Carolina,3,Aiken County,2015,1.7,0.0,1.7,20.48,0.0,20.48,22.18,0.0,22.18,-,-,-,-,-,-,-
45,South Carolina,5,Allendale County,1985,1.49,0.0,1.49,0.0,0.0,0.0,1.49,0.0,1.49,0.00,1.49,0.23,0.00,0.23,0.00,-
45,South Carolina,5,Allendale County,1990,2.4,0.0,2.4,0.0,0.0,0.0,2.4,0.0,2.4,0.00,2.40,0.36,0.00,0.36,0.00,2
45,South Carolina,5,Allendale County,1995,4.03,0.0,4.03,0.0,0.0,0.0,4.03,0.0,4.03,0.00,4.03,0.60,0.00,0.60,0.00,1
45,South Carolina,5,Allendale County,2000,2.5,0.0,2.5,0.0,0.0,0.0,2.5,0.0,2.5,-,-,-,-,-,-,-
45,South Carolina,5,Allendale County,2005,2.24,0.0,2.24,0.0,0.0,0.0,2.24,0.0,2.24,-,-,-,-,-,0.00,-
45,South Carolina,5,Allendale County,2010,2.15,0.0,2.15,0.0,0.0,0.0,2.15,0.0,2.15,-,-,-,-,-,0.00,-
