state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
47,Tennessee,1,Anderson County,1985,0.0,0.0,0.0,57.67,0.0,57.67,57.67,0.0,57.67,1.57,59.24,6.52,0.00,6.52,0.00,-
47,Tennessee,1,Anderson County,1990,0.0,0.0,0.0,2.82,0.0,2.82,2.82,0.0,2.82,3.21,6.03,0.66,0.00,0.66,0.00,2
47,Tennessee,1,Anderson County,1995,0.0,0.0,0.0,1.86,0.0,1.86,1.86,0.0,1.86,3.07,4.93,0.54,0.00,0.54,0.00,3
47,Tennessee,1,Anderson County,2000,0.0,0.0,0.0,1.48,0.0,1.48,1.48,0.0,1.48,-,-,-,-,-,-,-
47,Tennessee,1,Anderson County,2005,0.0,0.0,0.0,1.56,0.0,1.56,1.56,0.0,1.56,-,-,-,-,-,-,-
47,Tennessee,1,Anderson County,2010,0.0,0.0,0.0,0.52,0.0,0.52,0.52,0.0,0.52,-,-,-,-,-,0.00,-
47,Tennessee,1,Anderson County,2015,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.0,0.32,0.00,0.32,-,-,-,-,2
47,Tennessee,3,Bedford County,1985,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,1.17,1.26,0.13,0.00,0.13,0.00,-
47,Tennessee,3,Bedford County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,1.36,0.15,0.00,0.15,0.00,0
47,Tennessee,3,Bedford County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,1.79,0.20,0.00,0.20,0.00,0
47,Tennessee,3,Bedford County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
47,Tennessee,3,Bedford County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
47,Tennessee,3,Bedford County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.00,-
47,Tennessee,3,Bedford County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,-,-,-,-,0
47,Tennessee,5,Benton County,1985,0.21,0.0,0.21,0.0,0.0,0.0,0.21,0.0,0.21,0.12,0.33,0.04,0.00,0.04,0.00,-
47,Tennessee,5,Benton County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.02,0.00,0.02,0.00,2
47,Tennessee,5,Benton County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.02,0.00,0.02,0.00,0
