state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
51,Virginia,1,Accomack County,1985,2.68,0.0,2.68,0.0,0.0,0.0,2.68,0.0,2.68,0.03,2.71,0.33,0.00,0.33,0.00,-
51,Virginia,1,Accomack County,1990,3.08,0.0,3.08,0.0,0.0,0.0,3.08,0.0,3.08,0.00,3.08,0.37,0.00,0.37,0.00,7
51,Virginia,1,Accomack County,1995,3.06,0.0,3.06,0.0,0.0,0.0,3.06,0.0,3.06,0.16,3.22,0.39,0.00,0.39,0.00,30
51,Virginia,1,Accomack County,2000,3.01,0.0,3.01,0.0,0.0,0.0,3.01,0.0,3.01,-,-,-,-,-,-,-
51,Virginia,1,Accomack County,2005,3.31,0.0,3.31,0.0,0.0,0.0,3.31,0.0,3.31,-,-,-,-,-,-,-
51,Virginia,1,Accomack County,2010,1.83,0.0,1.83,0.0,0.0,0.0,1.83,0.0,1.83,-,-,-,-,-,-,-
51,Virginia,1,Accomack County,2015,3.86,0.0,3.86,0.0,0.0,0.0,3.86,0.0,3.86,-,-,-,-,-,-,-
51,Virginia,3,Albemarle County,1985,1.6,0.0,1.6,0.0,0.0,0.0,1.6,0.0,1.6,0.60,2.20,0.20,0.00,0.20,0.00,-
51,Virginia,3,Albemarle County,1990,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,0.00,0.07,0.01,0.00,0.01,0.00,7
51,Virginia,3,Albemarle County,1995,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.30,0.32,0.04,0.00,0.04,0.00,33
51,Virginia,3,Albemarle County,2000,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
51,Virginia,3,Albemarle County,2005,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,-,-,-,-,-,-,-
51,Virginia,3,Albemarle County,2010,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
51,Virginia,3,Albemarle County,2015,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,-,-,-,-,-,-,-
