state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
50,Vermont,1,Addison County,1985,0.24,0.0,0.24,0.38,0.0,0.38,0.62,0.0,0.62,0.19,0.81,0.17,0.00,0.17,0.00,-
50,Vermont,1,Addison County,1990,0.01,0.0,0.01,0.3,0.0,0.3,0.31,0.0,0.31,0.14,0.45,0.04,0.00,0.04,0.00,67
50,Vermont,1,Addison County,1995,0.04,0.0,0.04,0.11,0.0,0.11,0.15,0.0,0.15,0.18,0.33,0.03,0.00,0.03,0.00,69
50,Vermont,1,Addison County,2000,0.06,0.0,0.06,0.13,0.0,0.13,0.19,0.0,0.19,-,-,-,-,-,-,-
50,Vermont,1,Addison County,2005,0.1,0.0,0.1,0.1,0.0,0.1,0.2,0.0,0.2,-,-,-,-,-,-,-
50,Vermont,1,Addison County,2010,0.14,0.0,0.14,0.09,0.0,0.09,0.23,0.0,0.23,-,-,-,-,-,-,-
50,Vermont,1,Addison County,2015,0.23,0.0,0.23,0.2,0.0,0.2,0.43,0.0,0.43,-,-,-,-,-,-,-
50,Vermont,3,Bennington County,1985,0.49,0.0,0.49,1.15,0.0,1.15,1.64,0.0,1.64,1.33,2.97,0.59,0.00,0.59,0.00,-
50,Vermont,3,Bennington County,1990,0.24,0.0,0.24,1.36,0.0,1.36,1.6,0.0,1.6,0.83,2.43,0.24,0.00,0.24,0.00,108
50,Vermont,3,Bennington County,1995,0.11,0.0,0.11,0.11,0.0,0.11,0.22,0.0,0.22,0.33,0.55,0.05,0.00,0.05,0.00,99
50,Vermont,3,Bennington County,2000,0.14,0.0,0.14,0.11,0.0,0.11,0.25,0.0,0.25,-,-,-,-,-,-,-
50,Vermont,3,Bennington County,2005,0.05,0.0,0.05,0.13,0.0,0.13,0.18,0.0,0.18,-,-,-,-,-,-,-
50,Vermont,3,Bennington County,2010,0.17,0.0,0.17,0.1,0.0,0.1,0.27,0.0,0.27,-,-,-,-,-,-,-
50,Vermont,3,Bennington County,2015,0.06,0.0,0.06,0.4,0.0,0.4,0.46,0.0,0.46,-,-,-,-,-,-,-
50,Vermont,5,Caledonia County,1985,0.0,0.0,0.0,1.47,0.0,1.47,1.47,0.0,1.47,0.58,2.05,0.41,0.00,0.41,0.00,-
50,Vermont,5,Caledonia County,1990,0.0,0.0,0.0,4.78,0.0,4.78,4.78,0.0,4.78,0.11,4.89,0.49,0.00,0.49,0.00,65
50,Vermont,5,Caledonia County,1995,0.11,0.0,0.11,0.47,0.0,0.47,0.58,0.0,0.58,0.05,0.63,0.06,0.00,0.06,0.00,66
50,Vermont,5,Caledonia County,2000,0.03,0.0,0.03,0.41,0.0,0.41,0.44,0.0,0.44,-,-,-,-,-,-,-
50,Vermont,5,Caledonia County,2005,0.05,0.0,0.05,0.09,0.0,0.09,0.14,0.0,0.14,-,-,-,-,-,-,-
50,Vermont,5,Caledonia County,2010,0.11,0.0,0.11,0.06,0.0,0.06,0.17,0.0,0.17,-,-,-,-,-,-,-
50,Vermont,5,Caledonia County,2015,0.04,0.0,0.04,0.39,0.0,0.39,0.43,0.0,0.43,-,-,-,-,-,-,-
50,Vermont,7,Chittenden County,1985,0.29,0.0,0.29,1.4,0.0,1.4,1.69,0.0,1.69,0.33,2.02,0.41,0.00,0.41,0.00,-
50,Vermont,7,Chittenden County,1990,0.49,0.0,0.49,2.79,0.0,2.79,3.28,0.0,3.28,0.63,3.91,0.39,0.00,0.39,0.00,195
50,Vermont,7,Chittenden County,1995,0.15,0.0,0.15,0.04,0.0,0.04,0.19,0.0,0.19,4.85,5.04,0.51,0.00,0.51,0.00,232
50,Vermont,7,Chittenden County,2000,0.25,0.0,0.25,0.07,0.0,0.07,0.32,0.0,0.32,-,-,-,-,-,-,-
50,Vermont,7,Chittenden County,2005,0.08,0.0,0.08,0.75,0.0,0.75,0.83,0.0,0.83,-,-,-,-,-,-,-
50,Vermont,7,Chittenden County,2010,0.12,0.0,0.12,0.24,0.0,0.24,0.36,0.0,0.36,-,-,-,-,-,-,-
50,Vermont,7,Chittenden County,2015,0.06,0.0,0.06,1.2,0.0,1.2,1.26,0.0,1.26,-,-,-,-,-,-,-
50,Vermont,9,Essex County,1985,0.0,0.0,0.0,4.5,0.0,4.5,4.5,0.0,4.5,0.00,4.50,0.90,0.00,0.90,0.00,-
50,Vermont,9,Essex County,1990,0.04,0.0,0.04,0.24,0.0,0.24,0.28,0.0,0.28,0.01,0.29,0.03,0.00,0.03,0.00,24
50,Vermont,9,Essex County,1995,0.01,0.0,0.01,1.5,0.0,1.5,1.51,0.0,1.51,0.01,1.52,0.15,0.00,0.15,0.00,21
50,Vermont,9,Essex County,2000,0.0,0.0,0.0,1.75,0.0,1.75,1.75,0.0,1.75,-,-,-,-,-,-,-
50,Vermont,9,Essex County,2005,0.0,0.0,0.0,1.68,0.0,1.68,1.68,0.0,1.68,-,-,-,-,-,-,-
50,Vermont,9,Essex County,2010,0.02,0.0,0.02,0.01,0.0,0.01,0.03,0.0,0.03,-,-,-,-,-,-,-
50,Vermont,9,Essex County,2015,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,-,-,-,-,-,-,-
50,Vermont,11,Franklin County,1985,2.46,0.0,2.46,18.26,0.0,18.26,20.72,0.0,20.72,1.02,21.74,4.34,0.00,4.34,0.00,-
50,Vermont,11,Franklin County,1990,0.0,0.0,0.0,14.5,0.0,14.5,14.5,0.0,14.5,0.23,14.73,1.47,0.00,1.47,0.00,59
50,Vermont,11,Franklin County,1995,0.31,0.0,0.31,0.33,0.0,0.33,0.64,0.0,0.64,0.49,1.13,0.11,0.00,0.11,0.00,65
50,Vermont,11,Franklin County,2000,0.24,0.0,0.24,0.3,0.0,0.3,0.54,0.0,0.54,-,-,-,-,-,-,-
50,Vermont,11,Franklin County,2005,0.05,0.0,0.05,0.33,0.0,0.33,0.38,0.0,0.38,-,-,-,-,-,-,-
50,Vermont,11,Franklin County,2010,0.19,0.0,0.19,0.58,0.0,0.58,0.77,0.0,0.77,-,-,-,-,-,-,-
50,Vermont,11,Franklin County,2015,0.04,0.0,0.04,0.64,0.0,0.64,0.68,0.0,0.68,-,-,-,-,-,-,-
50,Vermont,13,Grand Isle County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.02,0.00,0.02,0.00,-
50,Vermont,13,Grand Isle County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.00,0.00,0.00,0.00,0
50,Vermont,13,Grand Isle County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,6
50,Vermont,13,Grand Isle County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
50,Vermont,13,Grand Isle County,2005,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,-,-,-,-,-,-,-
50,Vermont,13,Grand Isle County,2010,0.1,0.0,0.1,0.02,0.0,0.02,0.12,0.0,0.12,-,-,-,-,-,-,-
50,Vermont,13,Grand Isle County,2015,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,-,-,-,-,-,-,-
50,Vermont,15,Lamoille County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.06,0.00,0.06,0.00,-
50,Vermont,15,Lamoille County,1990,0.02,0.0,0.02,0.1,0.0,0.1,0.12,0.0,0.12,0.10,0.22,0.02,0.00,0.02,0.00,54
50,Vermont,15,Lamoille County,1995,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.03,0.07,0.01,0.00,0.01,0.00,52
50,Vermont,15,Lamoille County,2000,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,-,-,-,-,-,-,-
50,Vermont,15,Lamoille County,2005,0.08,0.0,0.08,0.01,0.0,0.01,0.09,0.0,0.09,-,-,-,-,-,-,-
50,Vermont,15,Lamoille County,2010,0.06,0.0,0.06,0.01,0.0,0.01,0.07,0.0,0.07,-,-,-,-,-,-,-
50,Vermont,15,Lamoille County,2015,0.11,0.0,0.11,0.01,0.0,0.01,0.12,0.0,0.12,-,-,-,-,-,-,-
50,Vermont,17,Orange County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
50,Vermont,17,Orange County,1990,0.07,0.0,0.07,0.41,0.0,0.41,0.48,0.0,0.48,0.03,0.51,0.05,0.00,0.05,0.00,61
50,Vermont,17,Orange County,1995,0.04,0.0,0.04,0.01,0.0,0.01,0.05,0.0,0.05,0.04,0.09,0.01,0.00,0.01,0.00,67
50,Vermont,17,Orange County,2000,0.05,0.0,0.05,0.01,0.0,0.01,0.06,0.0,0.06,-,-,-,-,-,-,-
50,Vermont,17,Orange County,2005,0.13,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.13,-,-,-,-,-,-,-
50,Vermont,17,Orange County,2010,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,-,-,-,-,-,-,-
