state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
53,Washington,1,Adams County,1985,2.0,-,-,0.0,0.0,0.0,2.0,-,-,0.20,-,0.40,0.00,0.40,-,-
53,Washington,1,Adams County,1990,1.61,-,-,0.0,0.0,0.0,1.61,-,-,0.18,-,0.31,0.00,0.31,-,9
53,Washington,1,Adams County,1995,2.1,-,-,0.0,0.0,0.0,2.1,-,-,0.27,-,0.47,0.00,0.47,-,11
53,Washington,1,Adams County,2000,2.23,0.00,2.23,0.0,0.0,0.0,2.23,0.00,2.23,-,-,-,-,-,-,-
53,Washington,1,Adams County,2005,2.79,0.00,2.79,0.0,0.0,0.0,2.79,0.00,2.79,-,-,-,-,-,-,-
53,Washington,1,Adams County,2010,2.22,0.00,2.22,0.0,0.0,0.0,2.22,0.00,2.22,-,-,-,-,-,-,-
53,Washington,1,Adams County,2015,3.52,0.00,3.52,0.0,0.0,0.0,3.52,0.00,3.52,-,-,-,-,-,-,-
53,Washington,3,Asotin County,1985,0.0,-,-,0.0,0.0,0.0,0.0,-,-,0.01,-,0.01,0.00,0.01,-,-
53,Washington,3,Asotin County,1990,0.0,-,-,0.0,0.0,0.0,0.0,-,-,0.02,-,0.01,0.00,0.01,-,13
53,Washington,3,Asotin County,1995,0.0,-,-,0.0,0.0,0.0,0.0,-,-,0.02,-,0.01,0.00,0.01,-,25
