state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
55,Wisconsin,1,Adams County,1985,0.04,0.0,0.04,0.04,0.0,0.04,0.08,0.0,0.08,0.06,0.14,0.01,0.00,0.01,0.00,-
55,Wisconsin,1,Adams County,1990,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.12,0.08,0.20,0.04,0.00,0.04,0.00,3
55,Wisconsin,1,Adams County,1995,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.11,0.10,0.21,0.04,0.00,0.04,0.00,1
55,Wisconsin,1,Adams County,2000,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,-,-,-,-,-,-,-
55,Wisconsin,1,Adams County,2005,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,-,-,-,-,-,-,-
55,Wisconsin,1,Adams County,2010,0.16,0.0,0.16,0.02,0.0,0.02,0.18,0.0,0.18,0.11,0.29,-,-,-,-,7
55,Wisconsin,1,Adams County,2015,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,-,-,-,-,-,-,8
55,Wisconsin,3,Ashland County,1985,0.0,0.0,0.0,1.23,0.0,1.23,1.23,0.0,1.23,0.05,1.28,0.01,0.00,0.01,0.00,-
55,Wisconsin,3,Ashland County,1990,0.0,0.0,0.0,1.37,0.0,1.37,1.37,0.0,1.37,0.05,1.42,0.28,0.00,0.28,0.00,3
55,Wisconsin,3,Ashland County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.01,0.00,0.01,0.00,0
55,Wisconsin,3,Ashland County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
55,Wisconsin,3,Ashland County,2005,0.08,0.0,0.08,2.38,0.0,2.38,2.46,0.0,2.46,-,-,-,-,-,-,-
55,Wisconsin,3,Ashland County,2010,0.18,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.18,0.04,0.22,-,-,-,-,7
55,Wisconsin,3,Ashland County,2015,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,-,-,-,-,-,-,3
55,Wisconsin,5,Barron County,1985,0.67,0.0,0.67,0.0,0.0,0.0,0.67,0.0,0.67,0.99,1.66,0.33,0.00,0.33,0.00,-
55,Wisconsin,5,Barron County,1990,0.65,0.0,0.65,0.0,0.0,0.0,0.65,0.0,0.65,1.44,2.09,0.42,0.00,0.42,0.00,8
55,Wisconsin,5,Barron County,1995,1.76,0.0,1.76,0.0,0.0,0.0,1.76,0.0,1.76,1.47,3.23,0.65,0.00,0.65,0.00,4
55,Wisconsin,5,Barron County,2000,1.89,0.0,1.89,0.0,0.0,0.0,1.89,0.0,1.89,-,-,-,-,-,-,-
55,Wisconsin,5,Barron County,2005,1.76,0.0,1.76,0.0,0.0,0.0,1.76,0.0,1.76,-,-,-,-,-,-,-
