state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
54,West Virginia,1,Barbour County,1985,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.08,0.09,0.01,0.00,0.01,0.00,-
54,West Virginia,1,Barbour County,1990,0.13,0.0,0.13,0.03,0.0,0.03,0.16,0.0,0.16,0.06,0.22,0.03,0.00,0.03,0.00,0
54,West Virginia,1,Barbour County,1995,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.0,0.23,0.07,0.30,0.05,0.00,0.05,0.00,61
54,West Virginia,1,Barbour County,2000,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,-,-,-,-,-,-,-
54,West Virginia,1,Barbour County,2005,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.0,0.28,-,-,-,-,-,-,-
54,West Virginia,1,Barbour County,2010,0.01,0.0,0.01,0.23,0.0,0.23,0.24,0.0,0.24,-,-,-,-,-,-,-
54,West Virginia,1,Barbour County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
54,West Virginia,3,Berkeley County,1985,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.0,0.22,1.07,1.29,0.13,0.00,0.13,0.00,-
54,West Virginia,3,Berkeley County,1990,1.24,0.0,1.24,0.31,0.0,0.31,1.55,0.0,1.55,1.53,3.08,0.46,0.00,0.46,0.00,0
54,West Virginia,3,Berkeley County,1995,0.1,0.0,0.1,9.96,0.0,9.96,10.06,0.0,10.06,1.68,11.74,1.76,0.00,1.76,0.00,223
54,West Virginia,3,Berkeley County,2000,0.09,0.0,0.09,8.67,0.0,8.67,8.76,0.0,8.76,-,-,-,-,-,-,-
54,West Virginia,3,Berkeley County,2005,4.41,0.0,4.41,4.41,0.0,4.41,8.82,0.0,8.82,-,-,-,-,-,-,-
54,West Virginia,3,Berkeley County,2010,3.9,0.0,3.9,14.0,0.0,14.0,17.9,0.0,17.9,-,-,-,-,-,-,-
54,West Virginia,3,Berkeley County,2015,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.0,0.03,-,-,-,-,-,-,-
