state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
56,Wyoming,1,Albany County,1985,0.41,0.0,0.41,0.18,0.0,0.18,0.59,0.0,0.59,0.00,0.59,0.12,0.00,0.12,0.00,-
56,Wyoming,1,Albany County,1990,0.25,0.0,0.25,0.17,0.0,0.17,0.42,0.0,0.42,0.00,0.42,0.06,0.00,0.06,0.00,0
56,Wyoming,1,Albany County,1995,0.1,0.0,0.1,0.07,0.0,0.07,0.17,0.0,0.17,0.00,0.17,0.03,0.00,0.03,0.00,0
56,Wyoming,1,Albany County,2000,0.04,0.0,0.04,0.03,0.0,0.03,0.07,0.0,0.07,-,-,-,-,-,-,-
56,Wyoming,1,Albany County,2005,0.12,0.0,0.12,0.09,0.0,0.09,0.21,0.0,0.21,-,-,-,-,-,-,-
56,Wyoming,1,Albany County,2010,0.04,0.0,0.04,0.02,0.0,0.02,0.06,0.0,0.06,-,-,-,-,-,-,-
56,Wyoming,1,Albany County,2015,0.13,0.0,0.13,0.08,0.0,0.08,0.21,0.0,0.21,-,-,-,-,-,-,86
56,Wyoming,3,Big Horn County,1985,0.07,0.0,0.07,0.06,0.0,0.06,0.13,0.0,0.13,0.07,0.20,0.03,0.00,0.03,0.00,-
56,Wyoming,3,Big Horn County,1990,0.03,0.0,0.03,2.34,0.0,2.34,2.37,0.0,2.37,0.02,2.39,0.35,0.00,0.35,0.00,0
56,Wyoming,3,Big Horn County,1995,0.01,0.0,0.01,0.06,0.0,0.06,0.07,0.0,0.07,0.00,0.07,0.01,0.00,0.01,0.00,0
56,Wyoming,3,Big Horn County,2000,0.01,0.0,0.01,0.03,0.0,0.03,0.04,0.0,0.04,-,-,-,-,-,-,-
56,Wyoming,3,Big Horn County,2005,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.0,0.03,-,-,-,-,-,-,-
56,Wyoming,3,Big Horn County,2010,0.04,0.0,0.04,0.25,0.0,0.25,0.29,0.0,0.29,-,-,-,-,-,-,-
56,Wyoming,3,Big Horn County,2015,0.01,0.0,0.01,0.06,0.0,0.06,0.07,0.0,0.07,-,-,-,-,-,-,32
56,Wyoming,5,Campbell County,1985,0.3,0.0,0.3,0.12,0.0,0.12,0.42,0.0,0.42,0.00,0.42,0.10,0.00,0.10,0.00,-
56,Wyoming,5,Campbell County,1990,0.24,0.0,0.24,0.16,0.0,0.16,0.4,0.0,0.4,0.00,0.40,0.06,0.00,0.06,0.00,0
56,Wyoming,5,Campbell County,1995,0.05,0.0,0.05,0.03,0.0,0.03,0.08,0.0,0.08,0.00,0.08,0.01,0.00,0.01,0.00,0
56,Wyoming,5,Campbell County,2000,0.25,0.0,0.25,0.15,0.0,0.15,0.4,0.0,0.4,-,-,-,-,-,-,-
56,Wyoming,5,Campbell County,2005,0.38,0.0,0.38,0.22,0.0,0.22,0.6,0.0,0.6,-,-,-,-,-,-,-
56,Wyoming,5,Campbell County,2010,0.13,0.0,0.13,0.08,0.0,0.08,0.21,0.0,0.21,-,-,-,-,-,-,-
56,Wyoming,5,Campbell County,2015,0.16,0.0,0.16,0.09,0.0,0.09,0.25,0.0,0.25,-,-,-,-,-,-,143
56,Wyoming,7,Carbon County,1985,0.19,0.0,0.19,0.18,0.0,0.18,0.37,0.0,0.37,0.00,0.37,0.07,0.00,0.07,0.00,-
56,Wyoming,7,Carbon County,1990,0.14,0.0,0.14,0.08,0.0,0.08,0.22,0.0,0.22,1.98,2.20,0.33,0.00,0.33,0.00,0
56,Wyoming,7,Carbon County,1995,0.13,0.0,0.13,0.07,0.0,0.07,0.2,0.0,0.2,0.00,0.20,0.03,0.00,0.03,0.00,0
56,Wyoming,7,Carbon County,2000,0.13,0.0,0.13,0.07,0.0,0.07,0.2,0.0,0.2,-,-,-,-,-,-,-
56,Wyoming,7,Carbon County,2005,0.1,0.0,0.1,0.06,0.0,0.06,0.16,0.0,0.16,-,-,-,-,-,-,-
56,Wyoming,7,Carbon County,2010,0.04,0.0,0.04,0.02,0.0,0.02,0.06,0.0,0.06,-,-,-,-,-,-,-
56,Wyoming,7,Carbon County,2015,0.47,0.0,0.47,0.28,0.0,0.28,0.75,0.0,0.75,-,-,-,-,-,-,38
56,Wyoming,9,Converse County,1985,0.25,0.0,0.25,0.02,0.0,0.02,0.27,0.0,0.27,0.00,0.27,0.05,0.00,0.05,0.00,-
56,Wyoming,9,Converse County,1990,0.09,0.0,0.09,0.06,0.0,0.06,0.15,0.0,0.15,0.00,0.15,0.02,0.00,0.02,0.00,0
56,Wyoming,9,Converse County,1995,0.02,0.0,0.02,0.02,0.0,0.02,0.04,0.0,0.04,0.00,0.04,0.01,0.00,0.01,0.00,0
56,Wyoming,9,Converse County,2000,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,-,-,-,-,-,-,-
56,Wyoming,9,Converse County,2005,0.06,0.0,0.06,0.06,0.0,0.06,0.12,0.0,0.12,-,-,-,-,-,-,-
56,Wyoming,9,Converse County,2010,0.02,0.0,0.02,0.02,0.0,0.02,0.04,0.0,0.04,-,-,-,-,-,-,-
56,Wyoming,9,Converse County,2015,0.03,0.0,0.03,0.03,0.0,0.03,0.06,0.0,0.06,-,-,-,-,-,-,35
56,Wyoming,11,Crook County,1985,0.06,0.0,0.06,0.01,0.0,0.01,0.07,0.0,0.07,0.00,0.07,0.01,0.00,0.01,0.00,-
56,Wyoming,11,Crook County,1990,0.04,0.0,0.04,0.02,0.0,0.02,0.06,0.0,0.06,0.00,0.06,0.01,0.00,0.01,0.00,0
56,Wyoming,11,Crook County,1995,0.03,0.0,0.03,0.02,0.0,0.02,0.05,0.0,0.05,0.00,0.05,0.01,0.00,0.01,0.00,0
56,Wyoming,11,Crook County,2000,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
56,Wyoming,11,Crook County,2005,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,-,-,-,-,-,-,-
56,Wyoming,11,Crook County,2010,0.02,0.0,0.02,0.02,0.0,0.02,0.04,0.0,0.04,-,-,-,-,-,-,-
56,Wyoming,11,Crook County,2015,0.05,0.0,0.05,0.06,0.0,0.06,0.11,0.0,0.11,-,-,-,-,-,-,28
56,Wyoming,13,Fremont County,1985,0.22,0.0,0.22,0.19,0.0,0.19,0.41,0.0,0.41,0.10,0.51,0.08,0.00,0.08,0.00,-
56,Wyoming,13,Fremont County,1990,0.27,0.0,0.27,0.17,0.0,0.17,0.44,0.0,0.44,0.00,0.44,0.07,0.00,0.07,0.00,0
56,Wyoming,13,Fremont County,1995,0.15,0.0,0.15,0.09,0.0,0.09,0.24,0.0,0.24,0.00,0.24,0.04,0.00,0.04,0.00,0
56,Wyoming,13,Fremont County,2000,0.21,0.0,0.21,0.13,0.0,0.13,0.34,0.0,0.34,-,-,-,-,-,-,-
56,Wyoming,13,Fremont County,2005,0.11,0.0,0.11,0.07,0.0,0.07,0.18,0.0,0.18,-,-,-,-,-,-,-
56,Wyoming,13,Fremont County,2010,0.08,0.0,0.08,0.05,0.0,0.05,0.13,0.0,0.13,-,-,-,-,-,-,-
56,Wyoming,13,Fremont County,2015,0.07,0.0,0.07,0.05,0.0,0.05,0.12,0.0,0.12,-,-,-,-,-,-,128
56,Wyoming,15,Goshen County,1985,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.00,0.25,0.05,0.00,0.05,0.00,-
56,Wyoming,15,Goshen County,1990,0.03,0.0,0.03,2.22,0.0,2.22,2.25,0.0,2.25,0.00,2.25,0.34,0.00,0.34,0.00,0
56,Wyoming,15,Goshen County,1995,0.01,0.0,0.01,0.11,0.0,0.11,0.12,0.0,0.12,0.00,0.12,0.02,0.00,0.02,0.00,0
56,Wyoming,15,Goshen County,2000,0.01,0.0,0.01,0.09,0.0,0.09,0.1,0.0,0.1,-,-,-,-,-,-,-
56,Wyoming,15,Goshen County,2005,0.01,0.0,0.01,0.12,0.0,0.12,0.13,0.0,0.13,-,-,-,-,-,-,-
56,Wyoming,15,Goshen County,2010,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.04,-,-,-,-,-,-,-
56,Wyoming,15,Goshen County,2015,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.0,0.07,-,-,-,-,-,-,30
56,Wyoming,17,Hot Springs County,1985,0.03,0.0,0.03,0.03,0.0,0.03,0.06,0.0,0.06,0.05,0.11,0.01,0.00,0.01,0.00,-
56,Wyoming,17,Hot Springs County,1990,0.04,0.0,0.04,0.02,0.0,0.02,0.06,0.0,0.06,0.00,0.06,0.01,0.00,0.01,0.00,0
56,Wyoming,17,Hot Springs County,1995,0.03,0.0,0.03,0.01,0.0,0.01,0.04,0.0,0.04,0.00,0.04,0.01,0.00,0.01,0.00,0
56,Wyoming,17,Hot Springs County,2000,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
56,Wyoming,17,Hot Springs County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
56,Wyoming,17,Hot Springs County,2010,0.03,0.0,0.03,0.01,0.0,0.01,0.04,0.0,0.04,-,-,-,-,-,-,-
56,Wyoming,17,Hot Springs County,2015,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,21
56,Wyoming,19,Johnson County,1985,0.03,0.0,0.03,0.02,0.0,0.02,0.05,0.0,0.05,0.00,0.05,0.01,0.00,0.01,0.00,-
56,Wyoming,19,Johnson County,1990,0.06,0.0,0.06,0.03,0.0,0.03,0.09,0.0,0.09,0.00,0.09,0.01,0.00,0.01,0.00,0
56,Wyoming,19,Johnson County,1995,0.02,0.0,0.02,0.01,0.0,0.01,0.03,0.0,0.03,0.00,0.03,0.01,0.00,0.01,0.00,0
